pixel,1172A,1177A,1182A,1187A,1192A,1197A,1202A,1207A,1212A,1217A,1222A,1227A,1232A,1237A,1242A,1247A,1252A,1257A,1262A,1267A,1272A,1277A,1282A,1287A,1292A,1297A,1302A,1307A,1312A,1331A,1336A,1341A,1346A,1351A,1356A,1361A,1366A,1371A,1376A,1381A,1386A,1391A,1396A,1401A,1406A,1411A,1416A,1421A,1426A,1431A,1436A,1441A,1446A,1451A,1456A,1461A,1466A
1	4.801919150895673e-06 4.898648895761437e-06 5.051634319143904e-06 5.02099974683553e-06 4.998628581478259e-06 5.1858393707114135e-06 5.240423361677919e-06 5.404416206729642e-06 5.373734267296248e-06 5.431768137304043e-06 5.5171768824675724e-06 5.585007105944872e-06 5.556806357933609e-06 5.616512263670111e-06 5.638012536988558e-06 5.4194603740354915e-06 5.513915961013811e-06 5.4528595073730855e-06 5.514022832699114e-06 5.57679460305123e-06 5.467942381170708e-06 5.453590294355511e-06 5.2450144915642535e-06 5.331585426091471e-06 5.3068069742743335e-06 5.592570947663623e-06 5.407073625415608e-06 5.589269828132751e-06 5.484698809937285e-06 5.666841948716554e-06 5.635251376554943e-06 5.911143897942333e-06 5.809568511767809e-06 5.925753776685982e-06 5.9172982161562526e-06 6.024124297249132e-06 6.0867371510463135e-06 6.066046403938685e-06 6.06159393757226e-06 6.2074044277801226e-06 6.183295388073208e-06 6.284177707201961e-06 6.234306305967509e-06 6.220011958510665e-06 6.49364650610641e-06 5.976690593234569e-06 6.203054292645635e-06 6.062820301979397e-06 6.119134226109868e-06 6.05139757629675e-06 6.16429530383949e-06 6.1576470115607905e-06 6.098411428946594e-06 5.952113756523862e-06 6.121542277974932e-06 6.1919983025556716e-06 5.963103749018943e-06
2	4.84705665336967e-06 4.971581897096094e-06 5.1328828387049595e-06 5.0868642728373865e-06 5.02529344949634e-06 5.265705406883133e-06 5.295832410985536e-06 5.4310472544752955e-06 5.402230316159108e-06 5.46713519572372e-06 5.579708770686241e-06 5.658236732530172e-06 5.652359743595389e-06 5.73868332918569e-06 5.789343973600007e-06 5.576354725113316e-06 5.669471685242909e-06 5.581188311819215e-06 5.6423878911988535e-06 5.6325769251585215e-06 5.490556260187315e-06 5.435069870535641e-06 5.25596083429146e-06 5.40459999820287e-06 5.380591139372033e-06 5.7300725764385336e-06 5.500069349139895e-06 5.64795941359854e-06 5.558133999415553e-06 5.750766392589757e-06 5.744272008952408e-06 6.015637727146497e-06 5.900409683656889e-06 5.990915211375189e-06 6.0456757295283765e-06 6.087603041973622e-06 6.175972084326708e-06 6.179509651660994e-06 6.22168134157053e-06 6.288121806307131e-06 6.24197424729245e-06 6.380148851317476e-06 6.3652890314347045e-06 6.377205724389612e-06 6.638546359969391e-06 6.110960889593234e-06 6.357754463378658e-06 6.205854457934462e-06 6.2479016572002245e-06 6.186780944356732e-06 6.187867484905675e-06 6.244902336104807e-06 6.254814763570028e-06 6.109180319598216e-06 6.26365363373672e-06 6.3408575605973115e-06 6.125543308667354e-06
3	4.918238162502554e-06 5.0522842511437055e-06 5.210659367509526e-06 5.1428305776460875e-06 5.089008844288541e-06 5.335445118501382e-06 5.362913664462664e-06 5.454854240652233e-06 5.424067754053207e-06 5.478457365469449e-06 5.621363904266826e-06 5.69274390164263e-06 5.703084784295005e-06 5.800018932690787e-06 5.869595900141491e-06 5.67773460236945e-06 5.776390275592319e-06 5.682654331441571e-06 5.729899105479685e-06 5.6981541813021185e-06 5.554878660240654e-06 5.426854758448854e-06 5.327892678053139e-06 5.48921725029561e-06 5.470112168075259e-06 5.818946431249344e-06 5.600463977329751e-06 5.705104619493581e-06 5.631354564741113e-06 5.856398294797078e-06 5.862255529196114e-06 6.093962815688224e-06 5.992620931251927e-06 6.043021994740622e-06 6.16380977880057e-06 6.143428819657583e-06 6.226255625189652e-06 6.245226055902067e-06 6.334470598954306e-06 6.335142957664189e-06 6.270848646171499e-06 6.454865302402893e-06 6.447734420616713e-06 6.486424688995121e-06 6.710358391917766e-06 6.203337390308596e-06 6.459223462289941e-06 6.286286462880175e-06 6.324154844181935e-06 6.258351054641727e-06 6.190586857544951e-06 6.343165061579543e-06 6.3955501501818555e-06 6.262334256298756e-06 6.380838442905888e-06 6.480822711680658e-06 6.311496923415518e-06
4	5.009047357400282e-06 5.156132520288324e-06 5.298422994591859e-06 5.216699287183673e-06 5.189843097530077e-06 5.414602204467274e-06 5.457445028095767e-06 5.4883671407972135e-06 5.447091594749788e-06 5.484275438299321e-06 5.655087382609324e-06 5.708841288663994e-06 5.745577296785148e-06 5.836554140787872e-06 5.925990969646358e-06 5.76306445842781e-06 5.874019527330377e-06 5.79132781873117e-06 5.817910378565889e-06 5.785567671120454e-06 5.654449531354369e-06 5.446887698221181e-06 5.4433626974677205e-06 5.6016916433138405e-06 5.583801097277008e-06 5.914379721862108e-06 5.734424234125445e-06 5.797266207416737e-06 5.724362250954245e-06 5.988794129366588e-06 6.00665744835896e-06 6.168284928996773e-06 6.118289773792183e-06 6.101930720591439e-06 6.281659855141348e-06 6.217551348109888e-06 6.266443239797697e-06 6.289817915989553e-06 6.4337399111140695e-06 6.3877240329791885e-06 6.29966614606561e-06 6.516970161433265e-06 6.520073796584238e-06 6.5766886372838435e-06 6.740111162220802e-06 6.285875315338079e-06 6.552918030287473e-06 6.35658416995695e-06 6.409679187008124e-06 6.312387949897138e-06 6.209009634611941e-06 6.456036855642471e-06 6.53906663504787e-06 6.41535944863853e-06 6.508290876481201e-06 6.63890052152751e-06 6.525901489543153e-06
5	5.1167711111750646e-06 5.271492582070049e-06 5.382404326411428e-06 5.312892000681665e-06 5.318505352993861e-06 5.5068870527881944e-06 5.565057247599986e-06 5.5356139793410646e-06 5.471067938862308e-06 5.4872764694563585e-06 5.664422998588175e-06 5.7094069785241555e-06 5.773392955256722e-06 5.839927087463491e-06 5.949207906779449e-06 5.827190502640183e-06 5.946987591490053e-06 5.895481092380568e-06 5.8969002327308355e-06 5.880494827945014e-06 5.775527043858732e-06 5.515528039875501e-06 5.595340479772891e-06 5.737662919825795e-06 5.7186212048343605e-06 6.022413274412621e-06 5.894459735325924e-06 5.929751076296997e-06 5.8427473051404744e-06 6.120963231325307e-06 6.1720127774524634e-06 6.242306499386236e-06 6.2723863797949575e-06 6.167279959933958e-06 6.373806094791303e-06 6.291824325168111e-06 6.300762589996704e-06 6.312972595345822e-06 6.506615085683821e-06 6.442339351625361e-06 6.3192309123506385e-06 6.5404760747731485e-06 6.563490944065591e-06 6.6267570756737606e-06 6.723147754079124e-06 6.3483736794304e-06 6.614727758662143e-06 6.406626352973117e-06 6.497029140568976e-06 6.35550066345113e-06 6.258475085857414e-06 6.570888704690389e-06 6.668064147943568e-06 6.55253502610558e-06 6.640678600744255e-06 6.801098738694963e-06 6.754432391762154e-06
6	5.2443336841932e-06 5.396926713738013e-06 5.462010018883317e-06 5.42535340931915e-06 5.460513225768321e-06 5.613471005074456e-06 5.676026905021445e-06 5.596027693304038e-06 5.505477037522234e-06 5.4918908846468675e-06 5.653986178907968e-06 5.702604281691695e-06 5.786085483624717e-06 5.815676229140119e-06 5.9479688555317205e-06 5.881703257119782e-06 6.000357832558114e-06 5.9903943665278705e-06 5.96690314704292e-06 5.970096613137902e-06 5.905848128279331e-06 5.638552842851992e-06 5.772203689192335e-06 5.897238457785584e-06 5.874346867752259e-06 6.148169190944714e-06 6.071465694647146e-06 6.096628827241319e-06 5.986619383280294e-06 6.239633956432572e-06 6.345823223689303e-06 6.334444592832127e-06 6.439319870010728e-06 6.255704124185246e-06 6.43770002074523e-06 6.348076067209486e-06 6.347022155139306e-06 6.3369219286736014e-06 6.553028282949837e-06 6.5000015641962615e-06 6.329859060646974e-06 6.52341214076728e-06 6.583088177312722e-06 6.639893564540672e-06 6.678860587974776e-06 6.391563667163653e-06 6.642347970447113e-06 6.445049810404789e-06 6.583805423985093e-06 6.41678365166838e-06 6.342284945019336e-06 6.682407562506919e-06 6.788179623604417e-06 6.677543958118715e-06 6.7795765634916925e-06 6.9633832041514645e-06 6.990342636315754e-06
7	5.386363165904606e-06 5.53625169584219e-06 5.542818836589928e-06 5.5382208635870385e-06 5.6018155106199375e-06 5.72333892067101e-06 5.78954460744968e-06 5.658767759287303e-06 5.5543824910303744e-06 5.501238516819627e-06 5.643427133037936e-06 5.6958607695324045e-06 5.779505479202952e-06 5.775517373391294e-06 5.9262318469396024e-06 5.929646199292921e-06 6.034857558150224e-06 6.070690402100342e-06 6.024210014008952e-06 6.045981499575418e-06 6.0356308112313886e-06 5.804776465063611e-06 5.958155995094183e-06 6.0758311008228e-06 6.042511190063623e-06 6.28139037303248e-06 6.2537287537555224e-06 6.280492314504616e-06 6.1472175877409266e-06 6.342990935149535e-06 6.499586000469824e-06 6.448564752437331e-06 6.591150476182679e-06 6.376791882567071e-06 6.482656828548073e-06 6.380542796192646e-06 6.404941802389752e-06 6.373862835381321e-06 6.564065251062555e-06 6.555942663550583e-06 6.33576341411455e-06 6.476763653446812e-06 6.583534686244666e-06 6.633006964156836e-06 6.62155440892813e-06 6.414333997231279e-06 6.648214984536434e-06 6.477377449356459e-06 6.670692185866458e-06 6.510807194287328e-06 6.447720043863551e-06 6.79245482189575e-06 6.912061306453395e-06 6.798268896264192e-06 6.9252308812680545e-06 7.119065914469168e-06 7.219601033051674e-06
8	5.53018960201131e-06 5.685084804101675e-06 5.63491322512452e-06 5.645767015768522e-06 5.735121155032609e-06 5.825234504122704e-06 5.902143681314536e-06 5.715201537541596e-06 5.607502058649082e-06 5.522305901880677e-06 5.652559330308298e-06 5.702217136157581e-06 5.760771869798437e-06 5.746463551367122e-06 5.894481695037391e-06 5.969776618862072e-06 6.048665906089869e-06 6.140454159321044e-06 6.072417480631989e-06 6.110233730767253e-06 6.156285225380978e-06 6.000991030088088e-06 6.147572542730917e-06 6.265339104579588e-06 6.214909319547481e-06 6.409777312211152e-06 6.433060333855623e-06 6.463339973804396e-06 6.318587965853608e-06 6.438840514236701e-06 6.617570732515745e-06 6.571947727093274e-06 6.715027914721641e-06 6.5212980924548304e-06 6.525734537273474e-06 6.399478832079575e-06 6.459479359110497e-06 6.416819341969856e-06 6.542332911574956e-06 6.602396275102725e-06 6.3449009073132785e-06 6.42068005844964e-06 6.566162271040643e-06 6.624741209459625e-06 6.57088397810027e-06 6.427276240536087e-06 6.651299629676306e-06 6.508027321097769e-06 6.765066063571057e-06 6.6310656342463786e-06 6.566970831619151e-06 6.913285619736552e-06 7.053967381136757e-06 6.9317380728998e-06 7.076513252500839e-06 7.267342464777159e-06 7.432686454332894e-06
9	5.666560811653682e-06 5.825996897571383e-06 5.744118695208988e-06 5.749814047515677e-06 5.858588237899823e-06 5.911425281474252e-06 5.998122002131666e-06 5.767670034676073e-06 5.653676319600176e-06 5.563386682446186e-06 5.68873099061863e-06 5.730772030016904e-06 5.746004885791871e-06 5.749768144041398e-06 5.871413957351259e-06 6.000732835552657e-06 6.045857544679906e-06 6.206466496212409e-06 6.1277505875331145e-06 6.173720078334889e-06 6.2668995954190895e-06 6.217750085855072e-06 6.344903110761363e-06 6.453505710895227e-06 6.380829089074087e-06 6.52182370558721e-06 6.601178826025104e-06 6.633525609615395e-06 6.496690055746509e-06 6.534979072355554e-06 6.701206614634682e-06 6.68513200195639e-06 6.816060892754233e-06 6.666266977542181e-06 6.579122115702434e-06 6.412054558726405e-06 6.498552586764913e-06 6.4511466077104905e-06 6.502958513721725e-06 6.629288321946791e-06 6.363101509291229e-06 6.380780154867259e-06 6.541115741790962e-06 6.622993366449643e-06 6.550777390817248e-06 6.448635187464939e-06 6.665715513229756e-06 6.550110587586703e-06 6.86951552375293e-06 6.760638565771752e-06 6.701640149989336e-06 7.055923262378397e-06 7.216947660552732e-06 7.090577476460398e-06 7.227560840673318e-06 7.4205931341790226e-06 7.631719959035914e-06
10	5.79434604611806e-06 5.943359989778221e-06 5.862080525098404e-06 5.8470093927105805e-06 5.970639186071374e-06 5.975945255869793e-06 6.065854020622835e-06 5.830373016401613e-06 5.696027100266739e-06 5.62860562153052e-06 5.750505432948411e-06 5.787026397598999e-06 5.7525361390952585e-06 5.78777352377075e-06 5.876990684671469e-06 6.028468279240427e-06 6.046883589416747e-06 6.268668227596791e-06 6.200859313884465e-06 6.248445723418819e-06 6.37064384568464e-06 6.441148826539565e-06 6.541838353101307e-06 6.626817881294889e-06 6.5309829462927104e-06 6.6159941350137874e-06 6.751782943763895e-06 6.7907198899729475e-06 6.679264695008038e-06 6.632488008499033e-06 6.759478871698596e-06 6.774935250270922e-06 6.902586595464822e-06 6.78811861167127e-06 6.638677428779914e-06 6.422091983046807e-06 6.520826946199669e-06 6.4717354273185506e-06 6.466664364818282e-06 6.63609674793732e-06 6.396139670447629e-06 6.380695725289347e-06 6.526057675708763e-06 6.636568660655626e-06 6.578631446753993e-06 6.493227458964862e-06 6.696351177246773e-06 6.62033593035565e-06 6.9755882988566115e-06 6.8847952496102175e-06 6.849850345230673e-06 7.216396972262915e-06 7.386615057612476e-06 7.270317501579982e-06 7.375368820582919e-06 7.5999799505775346e-06 7.830041724554858e-06
