pixel,1134A,1139A,1144A,1149A,1154A,1159A,1164A,1169A,1174A,1179A,1184A,1189A,1194A,1199A,1204A,1209A,1214A,1219A,1224A,1229A,1234A,1239A,1244A,1249A,1254A,1259A,1264A,1269A,1274A,1295A,1300A,1305A,1310A,1315A,1320A,1325A,1330A,1335A,1340A,1345A,1350A,1355A,1360A,1365A,1370A,1375A,1380A,1385A,1390A,1395A,1400A,1405A,1410A,1415A,1420A,1425A,1430A
1	4.910494551692905e-06 4.9029926553141396e-06 4.9092932079605804e-06 4.852188556965669e-06 4.924624681453399e-06 4.822899958543588e-06 5.070814629144051e-06 5.352166607171398e-06 5.400453094496567e-06 5.433086456201979e-06 5.660408199630071e-06 5.760326832717543e-06 5.8118930413732364e-06 5.837846366959693e-06 5.802834652705733e-06 6.1505016892188686e-06 6.0803761836368755e-06 6.262572284317992e-06 6.333030129737911e-06 6.259457250232442e-06 6.213963489083683e-06 6.067396300662544e-06 5.9346226761340756e-06 5.814856525173705e-06 5.835017059408192e-06 5.787970497322792e-06 5.778376755240221e-06 5.831485601979887e-06 5.7560414369103025e-06 5.776158942813367e-06 5.787996764004025e-06 5.822674661123978e-06 5.764441785365473e-06 5.992384506564544e-06 5.92182238407557e-06 5.917237035290238e-06 6.146877172913848e-06 6.160406526813568e-06 6.138085013277059e-06 6.290066230840259e-06 6.337188542679673e-06 6.301427862269028e-06 6.664682177454017e-06 6.543990328623033e-06 6.366112083498951e-06 6.461653341835737e-06 6.460942014561435e-06 6.528710254579276e-06 6.386989854008885e-06 6.450933188724679e-06 6.589292301520999e-06 6.376874152114598e-06 6.267147356205688e-06 6.273301834117447e-06 6.268709303229391e-06 6.320444789898624e-06 5.9859553437977046e-06
2	4.947657281265097e-06 4.9981395846409575e-06 4.898286037063967e-06 4.917547132316651e-06 4.985187511011246e-06 4.926525169434647e-06 5.1102467052907145e-06 5.401245585838418e-06 5.487545320336412e-06 5.474424149451099e-06 5.692249811975205e-06 5.776453441622715e-06 5.804524624982608e-06 5.881345560655074e-06 5.859497379774253e-06 6.12571045991275e-06 6.1350081724063125e-06 6.251981027902021e-06 6.383834485552312e-06 6.219776862595968e-06 6.240813078138324e-06 6.068759664313782e-06 5.93988244846882e-06 5.8370269390614495e-06 5.874342977855731e-06 5.800890699887074e-06 5.808214137104825e-06 5.770039376125873e-06 5.656427450352495e-06 5.7658841313863684e-06 5.775496965127607e-06 5.799866943858671e-06 5.810094641574241e-06 6.012245856805831e-06 5.96411170356667e-06 5.960178820478589e-06 6.179774058655278e-06 6.298839449031978e-06 6.234907732441379e-06 6.348357590969293e-06 6.380318307563359e-06 6.4469726684983195e-06 6.802398508656631e-06 6.605487705910514e-06 6.486944307864564e-06 6.5512729069135395e-06 6.5662312995573825e-06 6.633401684488165e-06 6.507204249798489e-06 6.576005741010587e-06 6.7662140859076295e-06 6.498448011942382e-06 6.39922457130913e-06 6.369784290436478e-06 6.288331211064572e-06 6.387717054317029e-06 6.0674876997200605e-06
3	5.013602707855465e-06 5.090003080650103e-06 4.931120060092658e-06 5.019493607432305e-06 5.081168397934802e-06 5.069442506426541e-06 5.184809857245725e-06 5.458540221548572e-06 5.558162727964056e-06 5.536474498764507e-06 5.706263814810922e-06 5.776637132342373e-06 5.784425155043623e-06 5.915239761924542e-06 5.879437635311324e-06 6.064198169373719e-06 6.1324231997795514e-06 6.180331954089476e-06 6.349929013061008e-06 6.178535506277703e-06 6.255885537933699e-06 6.071477482862927e-06 5.930369392163913e-06 5.855048013095994e-06 5.918775429515166e-06 5.8178434330172065e-06 5.878190132183981e-06 5.7977788866844505e-06 5.647458097739024e-06 5.767547850411615e-06 5.781080041511318e-06 5.800848466026151e-06 5.8714319897985455e-06 6.059956477567797e-06 6.032777576089133e-06 6.043806754145738e-06 6.2337201210840025e-06 6.4084722806344446e-06 6.326546993271643e-06 6.391269906773147e-06 6.402441833500917e-06 6.535398813103804e-06 6.887892520999171e-06 6.611257364229933e-06 6.555267678129234e-06 6.623138297605592e-06 6.66015599167667e-06 6.706850028643923e-06 6.618921404933035e-06 6.616648414722918e-06 6.85243666742449e-06 6.5618885818607115e-06 6.471135314239514e-06 6.430968110271421e-06 6.2981884669198155e-06 6.41131968106563e-06 6.122953675864833e-06
4	5.1080563018256505e-06 5.1944116961715045e-06 5.0124111156885305e-06 5.157888870934579e-06 5.194996581841848e-06 5.2409985240923135e-06 5.295994813519102e-06 5.5301655769481175e-06 5.637666876644531e-06 5.619576797496459e-06 5.726428829895089e-06 5.773949536296955e-06 5.769745806271783e-06 5.938725147689627e-06 5.870466306143063e-06 5.987451029348618e-06 6.104152530792617e-06 6.072691426354383e-06 6.258640652438252e-06 6.13859223393698e-06 6.252869193337387e-06 6.0714048560403135e-06 5.9339550615702164e-06 5.883218036411096e-06 5.975163380643087e-06 5.8450914729254594e-06 5.967836121807107e-06 5.881440642279187e-06 5.7000919257940384e-06 5.797159009653264e-06 5.8064637640282185e-06 5.8287198997407185e-06 5.950210762385605e-06 6.134361094724646e-06 6.132247809866268e-06 6.150094701485291e-06 6.300176936008055e-06 6.503103282740936e-06 6.43708645382922e-06 6.440608680472529e-06 6.4255202917172994e-06 6.61212130645483e-06 6.97255873188837e-06 6.607702897382665e-06 6.594746073142807e-06 6.7202149783466766e-06 6.770181511429536e-06 6.755045598891164e-06 6.728179539029286e-06 6.647211405939507e-06 6.876875035297196e-06 6.595775917996228e-06 6.533618616262399e-06 6.488546500483789e-06 6.340959673541018e-06 6.449234305420496e-06 6.1791089692945266e-06
5	5.2175424096335455e-06 5.307834967427634e-06 5.1399811883220596e-06 5.316931764189049e-06 5.313571854063288e-06 5.422617385389248e-06 5.432320719501e-06 5.613483351085099e-06 5.713206784926983e-06 5.709349160982116e-06 5.748542526888363e-06 5.763629075636909e-06 5.760388749684851e-06 5.9345541110131315e-06 5.837147419241676e-06 5.9097324111415725e-06 6.048638442791068e-06 5.94791929255168e-06 6.12314359137746e-06 6.082004296074819e-06 6.216815543516188e-06 6.062239492444137e-06 5.959845707524299e-06 5.9255944828782814e-06 6.037064331792494e-06 5.88386922143928e-06 6.062067613570919e-06 6.009181354115793e-06 5.815110564179373e-06 5.872925066642265e-06 5.861855610240886e-06 5.898546132389646e-06 6.035687228876018e-06 6.212691422187842e-06 6.239664055405966e-06 6.252277673953729e-06 6.371704628577752e-06 6.5680693979098435e-06 6.544694103484997e-06 6.4870769752482104e-06 6.449606003819169e-06 6.67518407729873e-06 7.04194846132312e-06 6.603294281634595e-06 6.600356401430532e-06 6.8245049702639775e-06 6.863630797533238e-06 6.762426660208064e-06 6.806761788552514e-06 6.679543809535204e-06 6.831269756155622e-06 6.596743611303437e-06 6.585700245299597e-06 6.5322140737453666e-06 6.407427729598598e-06 6.514737162820181e-06 6.24391167735564e-06
6	5.331446575722573e-06 5.427176741379858e-06 5.291029951014924e-06 5.483645357252063e-06 5.441666837828312e-06 5.602475184323132e-06 5.582993823914419e-06 5.7063998786782175e-06 5.771178152758035e-06 5.788947211948572e-06 5.764647084000015e-06 5.751309061183845e-06 5.750296670632175e-06 5.906851952266487e-06 5.798725554467725e-06 5.84046594652354e-06 5.972468430863968e-06 5.8310530485722765e-06 5.9721772752117405e-06 5.9921186237243615e-06 6.148248166966938e-06 6.040697830103517e-06 6.002330120063813e-06 5.977936377193879e-06 6.09729259247228e-06 5.932681987745492e-06 6.141377851173516e-06 6.145060755563849e-06 5.960420378396672e-06 5.992770970210941e-06 5.949432451057609e-06 6.01318948592347e-06 6.125722411175757e-06 6.274442118798935e-06 6.33106060917663e-06 6.338880059408136e-06 6.447013261620259e-06 6.613825471021672e-06 6.625999967636333e-06 6.532793225861222e-06 6.481061734595595e-06 6.730610718108647e-06 7.093108867690185e-06 6.615030590914923e-06 6.5948232026153e-06 6.911368417746975e-06 6.91461982608446e-06 6.741133329449491e-06 6.846849061080749e-06 6.708268234420509e-06 6.742723591816667e-06 6.579977163921778e-06 6.634043397232644e-06 6.564520709613877e-06 6.487975688271273e-06 6.61334406542157e-06 6.334876826892915e-06
7	5.442136566343013e-06 5.5387379560288026e-06 5.439314117925981e-06 5.649939250535022e-06 5.581367263010167e-06 5.766906786913213e-06 5.7344611607911335e-06 5.8012033672358145e-06 5.804955397663383e-06 5.846669151004467e-06 5.771831147173536e-06 5.744078675862935e-06 5.746200157494074e-06 5.8729126675608675e-06 5.769265194891932e-06 5.7809290124669724e-06 5.888441068205728e-06 5.734973939149707e-06 5.829511779622945e-06 5.880785830062753e-06 6.058940139922462e-06 6.009404461759379e-06 6.039832521899889e-06 6.023851157455626e-06 6.140925279222864e-06 5.988754218077805e-06 6.191974855297959e-06 6.263092356716933e-06 6.111928563114049e-06 6.1468519300782805e-06 6.0719484421970195e-06 6.171914686884637e-06 6.230074397374291e-06 6.330281943146004e-06 6.40128081681161e-06 6.4203106880131985e-06 6.528059819174383e-06 6.655590448748996e-06 6.670227556834588e-06 6.588334810518452e-06 6.518082818336494e-06 6.774459483199293e-06 7.123194109627602e-06 6.650663759946568e-06 6.59214044219196e-06 6.9537464385640275e-06 6.919657240647033e-06 6.712419426792446e-06 6.8450607753396064e-06 6.714571418002182e-06 6.638067094854776e-06 6.558052698339734e-06 6.683587334302086e-06 6.591636073355065e-06 6.5764622228825635e-06 6.7287316962067305e-06 6.459353920457926e-06
8	5.538867785566981e-06 5.630610852993502e-06 5.571022281226051e-06 5.805001621911369e-06 5.7230039594172245e-06 5.907930389306534e-06 5.8738041794633e-06 5.8901533857964275e-06 5.822945391536429e-06 5.874124902010746e-06 5.775116158580971e-06 5.743488725125412e-06 5.7668133579180444e-06 5.85453105457471e-06 5.760839400546521e-06 5.732026157020683e-06 5.821073910889007e-06 5.660457661708442e-06 5.712444719845356e-06 5.780444350326194e-06 5.969059083658835e-06 5.976241653252977e-06 6.055313177702515e-06 6.042366178957473e-06 6.156208830350127e-06 6.051687577754167e-06 6.221655725581604e-06 6.361720641202682e-06 6.264447226023473e-06 6.32720452821184e-06 6.231838681490651e-06 6.369723002153286e-06 6.364272365969443e-06 6.404439126040262e-06 6.462802316151741e-06 6.5138356380363836e-06 6.6184397128425726e-06 6.709253470161774e-06 6.6956085742155825e-06 6.65891783755899e-06 6.556130573144386e-06 6.801459845337962e-06 7.135324585755955e-06 6.702938885749252e-06 6.594977795744875e-06 6.9451884752827555e-06 6.904306720262528e-06 6.6955335079020225e-06 6.805139182820303e-06 6.695771884433494e-06 6.543074924264732e-06 6.545539656923991e-06 6.738558860224252e-06 6.624155655686297e-06 6.6721634236578086e-06 6.834280120110733e-06 6.612634925669956e-06
9	5.611070623779754e-06 5.702860832468892e-06 5.6892381729314725e-06 5.925212548255781e-06 5.853127649762083e-06 6.022025356803264e-06 5.9977730625297694e-06 5.9726095008410795e-06 5.8350612749378046e-06 5.868808612344884e-06 5.777118550212434e-06 5.751167087213721e-06 5.819043986254967e-06 5.870425573973744e-06 5.781578600873226e-06 5.701250758597986e-06 5.792282616865825e-06 5.606677366399314e-06 5.6298672649573665e-06 5.718469615248224e-06 5.899840995833139e-06 5.947852248946314e-06 6.047231802217996e-06 6.028009903889763e-06 6.144284775084231e-06 6.118770813565194e-06 6.2531822636601015e-06 6.454676717936233e-06 6.421195857887202e-06 6.5215710588667995e-06 6.423826728412694e-06 6.590814417258075e-06 6.529915924647216e-06 6.509030128757377e-06 6.532739370370868e-06 6.628267282088161e-06 6.713792154292518e-06 6.781692194932846e-06 6.72971018582429e-06 6.737281466939609e-06 6.596239123688223e-06 6.812762174119168e-06 7.128737384760099e-06 6.756298999815025e-06 6.6024265778888804e-06 6.9030050005376255e-06 6.893693109320338e-06 6.6946835263778404e-06 6.74473438248559e-06 6.660852776691683e-06 6.480113814676887e-06 6.559178676258727e-06 6.795008957557061e-06 6.674967248443358e-06 6.7797730469482785e-06 6.914118143730995e-06 6.780558693556962e-06
10	5.6558569028999285e-06 5.764963975897737e-06 5.798944598062185e-06 5.991619883449363e-06 5.961352518252685e-06 6.104318126066073e-06 6.109762778499549e-06 6.05073225263393e-06 5.844914887787854e-06 5.845533392243402e-06 5.781472507267138e-06 5.7708202397536096e-06 5.889257333423829e-06 5.927279439742977e-06 5.8270035583440706e-06 5.698715606834398e-06 5.808099516093624e-06 5.587503645437835e-06 5.58876122525494e-06 5.708570255291431e-06 5.863050577259723e-06 5.929576375879165e-06 6.026006459173489e-06 6.002918366088843e-06 6.120995112750233e-06 6.185706862058642e-06 6.304117962057825e-06 6.549144472125448e-06 6.580428341620408e-06 6.714057715307248e-06 6.63421177647487e-06 6.815838858349563e-06 6.710247242109567e-06 6.64387033808066e-06 6.622536837915487e-06 6.759505717486944e-06 6.805584331231191e-06 6.868477472831651e-06 6.786224056915798e-06 6.812320722086011e-06 6.639767505090192e-06 6.815950338243985e-06 7.100242053473876e-06 6.798117433164051e-06 6.6142941080152955e-06 6.852444509494297e-06 6.889962863820131e-06 6.701368497538756e-06 6.689479426153141e-06 6.629812134989192e-06 6.464569930726114e-06 6.606337166691364e-06 6.850385885224331e-06 6.7538355834243945e-06 6.8970480131403125e-06 6.978537782012644e-06 6.947879050884241e-06
