STIS Model Line Spread Function vs Aperture at 550 nm
Rel pixel      52x0.1    52x0.2    52x0.5    52x2.0
-20.020        0.0000    0.0000    0.0000    0.0004
-19.947        0.0000    0.0000    0.0000    0.0005
-19.874        0.0000    0.0000    0.0000    0.0005
-19.802        0.0000    0.0000    0.0000    0.0006
-19.729        0.0000    0.0000    0.0000    0.0006
-19.656        0.0000    0.0000    0.0000    0.0006
-19.583        0.0000    0.0000    0.0000    0.0007
-19.510        0.0000    0.0000    0.0000    0.0007
-19.438        0.0000    0.0000    0.0000    0.0007
-19.365        0.0000    0.0000    0.0000    0.0007
-19.292        0.0000    0.0000    0.0000    0.0008
-19.219        0.0000    0.0000    0.0000    0.0008
-19.146        0.0000    0.0000    0.0000    0.0008
-19.074        0.0000    0.0000    0.0000    0.0008
-19.001        0.0000    0.0000    0.0000    0.0008
-18.928        0.0000    0.0000    0.0000    0.0008
-18.855        0.0000    0.0000    0.0000    0.0009
-18.782        0.0000    0.0000    0.0000    0.0009
-18.710        0.0000    0.0000    0.0000    0.0009
-18.637        0.0000    0.0000    0.0000    0.0009
-18.564        0.0000    0.0000    0.0000    0.0010
-18.491        0.0000    0.0000    0.0000    0.0010
-18.418        0.0000    0.0000    0.0000    0.0010
-18.346        0.0000    0.0000    0.0000    0.0010
-18.273        0.0000    0.0000    0.0000    0.0010
-18.200        0.0000    0.0000    0.0000    0.0010
-18.127        0.0000    0.0000    0.0000    0.0010
-18.054        0.0000    0.0000    0.0000    0.0010
-17.982        0.0000    0.0000    0.0000    0.0010
-17.909        0.0000    0.0000    0.0000    0.0011
-17.836        0.0000    0.0000    0.0000    0.0011
-17.763        0.0000    0.0000    0.0000    0.0011
-17.690        0.0000    0.0000    0.0000    0.0011
-17.618        0.0000    0.0000    0.0000    0.0011
-17.545        0.0000    0.0000    0.0000    0.0011
-17.472        0.0000    0.0000    0.0000    0.0011
-17.399        0.0000    0.0000    0.0000    0.0010
-17.326        0.0000    0.0000    0.0000    0.0010
-17.254        0.0000    0.0000    0.0000    0.0010
-17.181        0.0000    0.0000    0.0000    0.0010
-17.108        0.0000    0.0000    0.0000    0.0010
-17.035        0.0000    0.0000    0.0000    0.0010
-16.962        0.0000    0.0000    0.0000    0.0010
-16.890        0.0000    0.0000    0.0000    0.0010
-16.817        0.0000    0.0000    0.0000    0.0010
-16.744        0.0000    0.0000    0.0000    0.0010
-16.671        0.0000    0.0000    0.0000    0.0010
-16.598        0.0000    0.0000    0.0000    0.0010
-16.526        0.0000    0.0000    0.0000    0.0011
-16.453        0.0000    0.0000    0.0000    0.0011
-16.380        0.0000    0.0000    0.0000    0.0011
-16.307        0.0000    0.0000    0.0000    0.0011
-16.234        0.0000    0.0000    0.0000    0.0011
-16.162        0.0000    0.0000    0.0000    0.0011
-16.089        0.0000    0.0000    0.0000    0.0011
-16.016        0.0000    0.0000    0.0000    0.0012
-15.943        0.0000    0.0000    0.0000    0.0012
-15.870        0.0000    0.0000    0.0000    0.0012
-15.798        0.0000    0.0000    0.0000    0.0012
-15.725        0.0000    0.0000    0.0000    0.0013
-15.652        0.0000    0.0000    0.0000    0.0013
-15.579        0.0000    0.0000    0.0000    0.0013
-15.506        0.0000    0.0000    0.0000    0.0013
-15.434        0.0000    0.0000    0.0000    0.0014
-15.361        0.0000    0.0000    0.0000    0.0014
-15.288        0.0000    0.0000    0.0000    0.0014
-15.215        0.0000    0.0000    0.0000    0.0015
-15.142        0.0000    0.0000    0.0000    0.0015
-15.070        0.0000    0.0000    0.0000    0.0015
-14.997        0.0000    0.0000    0.0000    0.0015
-14.924        0.0000    0.0000    0.0000    0.0016
-14.851        0.0000    0.0000    0.0000    0.0016
-14.778        0.0000    0.0000    0.0000    0.0016
-14.706        0.0000    0.0000    0.0000    0.0016
-14.633        0.0000    0.0000    0.0000    0.0016
-14.560        0.0000    0.0000    0.0000    0.0016
-14.487        0.0000    0.0000    0.0000    0.0016
-14.414        0.0000    0.0000    0.0000    0.0016
-14.342        0.0000    0.0000    0.0000    0.0016
-14.269        0.0000    0.0000    0.0000    0.0016
-14.196        0.0000    0.0000    0.0000    0.0016
-14.123        0.0000    0.0000    0.0000    0.0016
-14.050        0.0000    0.0000    0.0000    0.0016
-13.978        0.0000    0.0000    0.0000    0.0016
-13.905        0.0000    0.0000    0.0000    0.0016
-13.832        0.0000    0.0000    0.0000    0.0017
-13.759        0.0000    0.0000    0.0000    0.0017
-13.686        0.0000    0.0000    0.0000    0.0017
-13.614        0.0000    0.0000    0.0000    0.0017
-13.541        0.0000    0.0000    0.0000    0.0017
-13.468        0.0000    0.0000    0.0000    0.0017
-13.395        0.0000    0.0000    0.0000    0.0018
-13.322        0.0000    0.0000    0.0000    0.0018
-13.250        0.0000    0.0000    0.0000    0.0018
-13.177        0.0000    0.0000    0.0000    0.0018
-13.104        0.0000    0.0000    0.0000    0.0018
-13.031        0.0000    0.0000    0.0000    0.0018
-12.958        0.0000    0.0000    0.0000    0.0018
-12.886        0.0000    0.0000    0.0000    0.0018
-12.813        0.0000    0.0000    0.0000    0.0018
-12.740        0.0000    0.0000    0.0000    0.0018
-12.667        0.0000    0.0000    0.0000    0.0018
-12.594        0.0000    0.0000    0.0000    0.0018
-12.522        0.0000    0.0000    0.0000    0.0018
-12.449        0.0000    0.0000    0.0000    0.0018
-12.376        0.0000    0.0000    0.0000    0.0018
-12.303        0.0000    0.0000    0.0000    0.0018
-12.230        0.0000    0.0000    0.0000    0.0018
-12.158        0.0000    0.0000    0.0000    0.0018
-12.085        0.0000    0.0000    0.0000    0.0018
-12.012        0.0000    0.0000    0.0000    0.0019
-11.939        0.0000    0.0000    0.0000    0.0019
-11.866        0.0000    0.0000    0.0000    0.0019
-11.794        0.0000    0.0000    0.0000    0.0019
-11.721        0.0000    0.0000    0.0000    0.0019
-11.648        0.0000    0.0000    0.0000    0.0020
-11.575        0.0000    0.0000    0.0000    0.0020
-11.502        0.0000    0.0000    0.0000    0.0020
-11.430        0.0000    0.0000    0.0000    0.0021
-11.357        0.0000    0.0000    0.0000    0.0021
-11.284        0.0000    0.0000    0.0000    0.0021
-11.211        0.0000    0.0000    0.0000    0.0022
-11.138        0.0000    0.0000    0.0000    0.0023
-11.066        0.0000    0.0000    0.0000    0.0024
-10.993        0.0000    0.0000    0.0000    0.0025
-10.920        0.0000    0.0000    0.0000    0.0026
-10.847        0.0000    0.0000    0.0000    0.0027
-10.774        0.0000    0.0000    0.0000    0.0028
-10.702        0.0000    0.0000    0.0000    0.0029
-10.629        0.0000    0.0000    0.0000    0.0030
-10.556        0.0000    0.0000    0.0000    0.0032
-10.483        0.0000    0.0000    0.0000    0.0033
-10.410        0.0000    0.0000    0.0000    0.0034
-10.338        0.0000    0.0000    0.0000    0.0034
-10.265        0.0000    0.0000    0.0000    0.0035
-10.192        0.0000    0.0000    0.0000    0.0035
-10.119        0.0000    0.0000    0.0000    0.0036
-10.046        0.0000    0.0000    0.0000    0.0036
 -9.974        0.0000    0.0000    0.0000    0.0036
 -9.901        0.0000    0.0000    0.0000    0.0036
 -9.828        0.0000    0.0000    0.0000    0.0036
 -9.755        0.0000    0.0000    0.0000    0.0036
 -9.682        0.0000    0.0000    0.0000    0.0036
 -9.610        0.0000    0.0000    0.0000    0.0036
 -9.537        0.0000    0.0000    0.0000    0.0036
 -9.464        0.0000    0.0000    0.0000    0.0036
 -9.391        0.0000    0.0000    0.0000    0.0036
 -9.318        0.0000    0.0000    0.0000    0.0037
 -9.246        0.0000    0.0000    0.0000    0.0037
 -9.173        0.0000    0.0000    0.0000    0.0038
 -9.100        0.0000    0.0000    0.0000    0.0038
 -9.027        0.0000    0.0000    0.0000    0.0039
 -8.954        0.0000    0.0000    0.0000    0.0039
 -8.882        0.0000    0.0000    0.0000    0.0040
 -8.809        0.0000    0.0000    0.0000    0.0040
 -8.736        0.0000    0.0000    0.0000    0.0040
 -8.663        0.0000    0.0000    0.0000    0.0041
 -8.590        0.0000    0.0000    0.0000    0.0041
 -8.518        0.0000    0.0000    0.0000    0.0041
 -8.445        0.0000    0.0000    0.0000    0.0041
 -8.372        0.0000    0.0000    0.0000    0.0041
 -8.299        0.0000    0.0000    0.0000    0.0041
 -8.226        0.0000    0.0000    0.0000    0.0041
 -8.154        0.0000    0.0000    0.0000    0.0041
 -8.081        0.0000    0.0000    0.0000    0.0041
 -8.008        0.0000    0.0000    0.0000    0.0041
 -7.935        0.0000    0.0000    0.0000    0.0041
 -7.862        0.0000    0.0000    0.0000    0.0041
 -7.790        0.0000    0.0000    0.0000    0.0041
 -7.717        0.0000    0.0000    0.0000    0.0041
 -7.644        0.0000    0.0000    0.0000    0.0042
 -7.571        0.0000    0.0000    0.0000    0.0042
 -7.498        0.0000    0.0000    0.0000    0.0043
 -7.426        0.0000    0.0000    0.0000    0.0043
 -7.353        0.0000    0.0000    0.0000    0.0044
 -7.280        0.0000    0.0000    0.0000    0.0045
 -7.207        0.0000    0.0000    0.0000    0.0045
 -7.134        0.0000    0.0000    0.0000    0.0046
 -7.062        0.0000    0.0000    0.0000    0.0047
 -6.989        0.0000    0.0000    0.0000    0.0049
 -6.916        0.0000    0.0000    0.0000    0.0050
 -6.843        0.0000    0.0000    0.0000    0.0051
 -6.770        0.0000    0.0000    0.0000    0.0052
 -6.698        0.0000    0.0000    0.0000    0.0054
 -6.625        0.0000    0.0000    0.0000    0.0055
 -6.552        0.0000    0.0000    0.0000    0.0056
 -6.479        0.0000    0.0000    0.0000    0.0058
 -6.406        0.0000    0.0000    0.0000    0.0059
 -6.334        0.0000    0.0000    0.0000    0.0061
 -6.261        0.0000    0.0000    0.0000    0.0063
 -6.188        0.0000    0.0000    0.0000    0.0064
 -6.115        0.0000    0.0000    0.0000    0.0066
 -6.042        0.0000    0.0000    0.0001    0.0068
 -5.970        0.0000    0.0000    0.0001    0.0069
 -5.897        0.0000    0.0000    0.0002    0.0071
 -5.824        0.0000    0.0000    0.0003    0.0072
 -5.751        0.0000    0.0000    0.0004    0.0074
 -5.678        0.0000    0.0000    0.0006    0.0075
 -5.606        0.0000    0.0000    0.0008    0.0077
 -5.533        0.0000    0.0000    0.0011    0.0078
 -5.460        0.0000    0.0000    0.0014    0.0080
 -5.387        0.0000    0.0000    0.0019    0.0082
 -5.314        0.0000    0.0000    0.0024    0.0083
 -5.242        0.0000    0.0000    0.0030    0.0085
 -5.169        0.0000    0.0000    0.0037    0.0087
 -5.096        0.0000    0.0000    0.0045    0.0090
 -5.023        0.0000    0.0000    0.0053    0.0092
 -4.950        0.0000    0.0000    0.0061    0.0095
 -4.878        0.0000    0.0000    0.0070    0.0097
 -4.805        0.0000    0.0000    0.0078    0.0100
 -4.732        0.0000    0.0000    0.0087    0.0103
 -4.659        0.0000    0.0000    0.0094    0.0106
 -4.586        0.0000    0.0000    0.0102    0.0109
 -4.514        0.0000    0.0000    0.0108    0.0112
 -4.441        0.0000    0.0000    0.0114    0.0115
 -4.368        0.0000    0.0000    0.0119    0.0118
 -4.295        0.0000    0.0000    0.0123    0.0120
 -4.222        0.0000    0.0000    0.0127    0.0123
 -4.150        0.0000    0.0000    0.0131    0.0125
 -4.077        0.0000    0.0000    0.0133    0.0127
 -4.004        0.0000    0.0000    0.0136    0.0129
 -3.931        0.0000    0.0000    0.0138    0.0131
 -3.858        0.0000    0.0000    0.0140    0.0132
 -3.786        0.0000    0.0000    0.0142    0.0134
 -3.713        0.0000    0.0000    0.0144    0.0136
 -3.640        0.0000    0.0000    0.0145    0.0137
 -3.567        0.0000    0.0000    0.0147    0.0139
 -3.494        0.0000    0.0000    0.0149    0.0141
 -3.422        0.0000    0.0000    0.0152    0.0143
 -3.349        0.0000    0.0000    0.0155    0.0146
 -3.276        0.0000    0.0001    0.0158    0.0149
 -3.203        0.0000    0.0001    0.0162    0.0153
 -3.130        0.0000    0.0002    0.0167    0.0158
 -3.058        0.0000    0.0004    0.0173    0.0163
 -2.985        0.0000    0.0006    0.0180    0.0170
 -2.912        0.0000    0.0010    0.0189    0.0178
 -2.839        0.0000    0.0016    0.0198    0.0187
 -2.766        0.0000    0.0024    0.0210    0.0198
 -2.694        0.0000    0.0036    0.0224    0.0211
 -2.621        0.0000    0.0052    0.0241    0.0227
 -2.548        0.0000    0.0073    0.0261    0.0246
 -2.475        0.0001    0.0101    0.0285    0.0268
