STIS Model Line Spread Function vs Aperture at 150 nm
Rel pixel    0.1x0.03  0.2x0.09   0.2x0.2     6x0.2
  0.155        0.9090    0.7104    0.5978    0.5535
  0.232        0.8052    0.6622    0.5581    0.5187
  0.310        0.6795    0.6013    0.5081    0.4750
  0.387        0.5472    0.5333    0.4527    0.4265
  0.465        0.4217    0.4636    0.3965    0.3774
  0.542        0.3128    0.3963    0.3433    0.3309
  0.620        0.2254    0.3342    0.2957    0.2892
  0.697        0.1603    0.2788    0.2550    0.2535
  0.775        0.1152    0.2305    0.2215    0.2241
  0.852        0.0859    0.1892    0.1950    0.2007
  0.930        0.0680    0.1544    0.1744    0.1824
  1.007        0.0578    0.1257    0.1588    0.1685
  1.084        0.0521    0.1025    0.1471    0.1580
  1.162        0.0490    0.0844    0.1381    0.1498
  1.239        0.0473    0.0708    0.1309    0.1433
  1.317        0.0461    0.0608    0.1248    0.1377
  1.394        0.0452    0.0539    0.1192    0.1325
  1.472        0.0443    0.0492    0.1137    0.1274
  1.549        0.0435    0.0460    0.1081    0.1220
  1.627        0.0427    0.0439    0.1022    0.1162
  1.704        0.0419    0.0424    0.0959    0.1099
  1.782        0.0410    0.0412    0.0894    0.1029
  1.859        0.0401    0.0402    0.0826    0.0953
  1.936        0.0392    0.0393    0.0756    0.0873
  2.014        0.0383    0.0383    0.0686    0.0789
  2.091        0.0374    0.0374    0.0619    0.0706
  2.169        0.0365    0.0365    0.0555    0.0625
  2.246        0.0355    0.0356    0.0498    0.0552
  2.324        0.0346    0.0346    0.0448    0.0487
  2.401        0.0336    0.0337    0.0407    0.0434
  2.479        0.0327    0.0328    0.0373    0.0391
  2.556        0.0317    0.0318    0.0347    0.0358
  2.634        0.0307    0.0309    0.0327    0.0333
  2.711        0.0298    0.0299    0.0311    0.0314
  2.789        0.0288    0.0290    0.0298    0.0300
  2.866        0.0279    0.0281    0.0287    0.0288
  2.943        0.0269    0.0271    0.0277    0.0277
  3.021        0.0260    0.0262    0.0267    0.0268
  3.098        0.0251    0.0253    0.0258    0.0259
  3.176        0.0242    0.0244    0.0250    0.0250
  3.253        0.0232    0.0235    0.0241    0.0242
  3.331        0.0224    0.0226    0.0232    0.0233
  3.408        0.0215    0.0217    0.0224    0.0225
  3.486        0.0206    0.0209    0.0216    0.0217
  3.563        0.0198    0.0200    0.0207    0.0208
  3.641        0.0189    0.0192    0.0199    0.0201
  3.718        0.0181    0.0184    0.0191    0.0193
  3.796        0.0173    0.0176    0.0184    0.0185
  3.873        0.0166    0.0168    0.0176    0.0177
  3.950        0.0158    0.0161    0.0169    0.0170
  4.028        0.0151    0.0154    0.0161    0.0163
  4.105        0.0144    0.0147    0.0154    0.0156
  4.183        0.0137    0.0140    0.0147    0.0149
  4.260        0.0130    0.0133    0.0141    0.0142
  4.338        0.0124    0.0126    0.0134    0.0136
  4.415        0.0117    0.0120    0.0128    0.0130
  4.493        0.0111    0.0114    0.0122    0.0124
  4.570        0.0106    0.0108    0.0116    0.0118
  4.648        0.0100    0.0103    0.0110    0.0112
  4.725        0.0095    0.0097    0.0105    0.0106
  4.802        0.0089    0.0092    0.0099    0.0101
  4.880        0.0084    0.0087    0.0094    0.0096
  4.957        0.0080    0.0082    0.0089    0.0091
  5.035        0.0075    0.0077    0.0084    0.0086
  5.112        0.0071    0.0073    0.0080    0.0081
  5.190        0.0066    0.0069    0.0075    0.0077
  5.267        0.0062    0.0065    0.0071    0.0073
  5.345        0.0059    0.0061    0.0067    0.0069
  5.422        0.0055    0.0057    0.0063    0.0065
  5.500        0.0052    0.0054    0.0060    0.0061
  5.577        0.0048    0.0050    0.0056    0.0058
  5.655        0.0045    0.0047    0.0053    0.0054
  5.732        0.0042    0.0044    0.0050    0.0051
  5.809        0.0039    0.0041    0.0047    0.0048
  5.887        0.0037    0.0038    0.0044    0.0045
  5.964        0.0034    0.0036    0.0041    0.0042
  6.042        0.0032    0.0033    0.0038    0.0039
  6.119        0.0030    0.0031    0.0036    0.0037
  6.197        0.0028    0.0029    0.0033    0.0035
  6.274        0.0026    0.0027    0.0031    0.0032
  6.352        0.0024    0.0025    0.0029    0.0030
  6.429        0.0022    0.0023    0.0027    0.0028
  6.507        0.0020    0.0022    0.0025    0.0026
  6.584        0.0019    0.0020    0.0024    0.0024
  6.661        0.0017    0.0018    0.0022    0.0023
  6.739        0.0016    0.0017    0.0020    0.0021
  6.816        0.0015    0.0016    0.0019    0.0020
  6.894        0.0014    0.0015    0.0017    0.0018
  6.971        0.0013    0.0013    0.0016    0.0017
  7.049        0.0012    0.0012    0.0015    0.0016
  7.126        0.0011    0.0011    0.0014    0.0015
  7.204        0.0010    0.0010    0.0013    0.0013
  7.281        0.0009    0.0010    0.0012    0.0012
  7.359        0.0008    0.0009    0.0011    0.0012
  7.436        0.0008    0.0008    0.0010    0.0011
  7.514        0.0007    0.0007    0.0009    0.0010
  7.591        0.0006    0.0007    0.0009    0.0009
  7.668        0.0006    0.0006    0.0008    0.0008
  7.746        0.0005    0.0006    0.0007    0.0008
  7.823        0.0005    0.0005    0.0007    0.0007
  7.901        0.0004    0.0005    0.0006    0.0006
  7.978        0.0004    0.0004    0.0006    0.0006
  8.056        0.0004    0.0004    0.0005    0.0005
  8.133        0.0003    0.0004    0.0005    0.0005
  8.211        0.0003    0.0003    0.0004    0.0005
  8.288        0.0003    0.0003    0.0004    0.0004
  8.366        0.0002    0.0003    0.0004    0.0004
  8.443        0.0002    0.0002    0.0003    0.0003
  8.521        0.0002    0.0002    0.0003    0.0003
  8.598        0.0002    0.0002    0.0003    0.0003
  8.675        0.0002    0.0002    0.0002    0.0003
  8.753        0.0001    0.0002    0.0002    0.0002
  8.830        0.0001    0.0001    0.0002    0.0002
  8.908        0.0001    0.0001    0.0002    0.0002
  8.985        0.0001    0.0001    0.0002    0.0002
  9.063        0.0001    0.0001    0.0002    0.0002
  9.140        0.0001    0.0001    0.0001    0.0001
  9.218        0.0001    0.0001    0.0001    0.0001
  
