STIS Model Line Spread Function vs Aperture at 150 nm
Rel pixel    0.1x0.03  0.2x0.06   0.2x0.2     6x0.2
  2.829        0.0309    0.0311    0.0458    0.0516
  2.930        0.0296    0.0297    0.0400    0.0440
  3.031        0.0282    0.0284    0.0352    0.0378
  3.132        0.0269    0.0271    0.0314    0.0329
  3.233        0.0256    0.0258    0.0286    0.0295
  3.335        0.0244    0.0246    0.0265    0.0270
  3.436        0.0231    0.0234    0.0249    0.0252
  3.537        0.0219    0.0222    0.0235    0.0237
  3.638        0.0207    0.0210    0.0223    0.0225
  3.739        0.0196    0.0198    0.0212    0.0214
  3.840        0.0185    0.0187    0.0201    0.0203
  3.941        0.0174    0.0176    0.0191    0.0193
  4.042        0.0164    0.0166    0.0181    0.0183
  4.143        0.0154    0.0156    0.0171    0.0173
  4.244        0.0144    0.0146    0.0161    0.0164
  4.345        0.0135    0.0137    0.0152    0.0155
  4.446        0.0126    0.0128    0.0143    0.0146
  4.547        0.0117    0.0120    0.0135    0.0138
  4.648        0.0109    0.0112    0.0126    0.0129
  4.749        0.0102    0.0104    0.0119    0.0122
  4.850        0.0094    0.0097    0.0111    0.0114
  4.951        0.0088    0.0090    0.0104    0.0107
  5.052        0.0081    0.0083    0.0097    0.0100
  5.153        0.0075    0.0077    0.0091    0.0093
  5.254        0.0069    0.0071    0.0084    0.0087
  5.355        0.0064    0.0066    0.0078    0.0081
  5.457        0.0059    0.0060    0.0073    0.0076
  5.558        0.0054    0.0056    0.0068    0.0070
  5.659        0.0049    0.0051    0.0063    0.0065
  5.760        0.0045    0.0047    0.0058    0.0061
  5.861        0.0041    0.0043    0.0054    0.0056
  5.962        0.0038    0.0039    0.0049    0.0052
  6.063        0.0034    0.0036    0.0046    0.0048
  6.164        0.0031    0.0033    0.0042    0.0044
  6.265        0.0028    0.0030    0.0039    0.0041
  6.366        0.0026    0.0027    0.0035    0.0037
  6.467        0.0023    0.0024    0.0032    0.0034
  6.568        0.0021    0.0022    0.0030    0.0031
  6.669        0.0019    0.0020    0.0027    0.0029
  6.770        0.0017    0.0018    0.0025    0.0026
  6.871        0.0015    0.0016    0.0023    0.0024
  6.972        0.0014    0.0015    0.0021    0.0022
  7.073        0.0012    0.0013    0.0019    0.0020
  7.174        0.0011    0.0012    0.0017    0.0018
  7.275        0.0010    0.0011    0.0015    0.0017
  7.376        0.0009    0.0009    0.0014    0.0015
  7.477        0.0008    0.0008    0.0013    0.0014
  7.578        0.0007    0.0008    0.0011    0.0012
  7.680        0.0006    0.0007    0.0010    0.0011
  7.781        0.0006    0.0006    0.0009    0.0010
  7.882        0.0005    0.0005    0.0008    0.0009
  7.983        0.0004    0.0005    0.0007    0.0008
  8.084        0.0004    0.0004    0.0007    0.0007
  8.185        0.0003    0.0004    0.0006    0.0007
  8.286        0.0003    0.0003    0.0005    0.0006
  8.387        0.0003    0.0003    0.0005    0.0005
  8.488        0.0002    0.0003    0.0004    0.0005
