STIS Model Line Spread Function vs Aperture at 170 nm
Rel pixel    0.1x0.03  0.2x0.06   0.2x0.2     6x0.2
 -9.980        0.0001    0.0001    0.0001    0.0001
 -9.876        0.0001    0.0001    0.0001    0.0002
 -9.772        0.0001    0.0001    0.0002    0.0002
 -9.668        0.0001    0.0001    0.0002    0.0002
 -9.564        0.0001    0.0001    0.0002    0.0002
 -9.460        0.0002    0.0002    0.0002    0.0002
 -9.356        0.0002    0.0002    0.0002    0.0003
 -9.252        0.0002    0.0002    0.0003    0.0003
 -9.148        0.0002    0.0002    0.0003    0.0003
 -9.044        0.0002    0.0002    0.0003    0.0004
 -8.940        0.0003    0.0003    0.0004    0.0004
 -8.836        0.0003    0.0003    0.0004    0.0004
 -8.733        0.0003    0.0003    0.0004    0.0005
 -8.629        0.0004    0.0004    0.0005    0.0005
 -8.525        0.0004    0.0004    0.0005    0.0006
 -8.421        0.0004    0.0005    0.0006    0.0006
 -8.317        0.0005    0.0005    0.0006    0.0007
 -8.213        0.0006    0.0006    0.0007    0.0007
 -8.109        0.0006    0.0006    0.0008    0.0008
 -8.005        0.0007    0.0007    0.0008    0.0009
 -7.901        0.0007    0.0008    0.0009    0.0010
 -7.797        0.0008    0.0008    0.0010    0.0011
 -7.693        0.0009    0.0009    0.0011    0.0012
 -7.589        0.0010    0.0010    0.0012    0.0013
 -7.485        0.0011    0.0011    0.0013    0.0014
 -7.381        0.0012    0.0012    0.0014    0.0015
 -7.277        0.0013    0.0013    0.0015    0.0016
 -7.173        0.0014    0.0014    0.0017    0.0017
 -7.069        0.0015    0.0016    0.0018    0.0019
 -6.965        0.0017    0.0017    0.0019    0.0020
 -6.861        0.0018    0.0018    0.0021    0.0022
 -6.757        0.0020    0.0020    0.0023    0.0024
 -6.653        0.0021    0.0022    0.0025    0.0026
 -6.549        0.0023    0.0024    0.0026    0.0028
 -6.445        0.0025    0.0025    0.0029    0.0030
 -6.341        0.0027    0.0028    0.0031    0.0032
 -6.238        0.0029    0.0030    0.0033    0.0034
 -6.134        0.0032    0.0032    0.0035    0.0037
 -6.030        0.0034    0.0035    0.0038    0.0039
 -5.926        0.0037    0.0037    0.0041    0.0042
 -5.822        0.0040    0.0040    0.0043    0.0045
 -5.718        0.0043    0.0043    0.0046    0.0048
 -5.614        0.0046    0.0046    0.0050    0.0051
 -5.510        0.0049    0.0049    0.0053    0.0054
 -5.406        0.0052    0.0053    0.0056    0.0058
 -5.302        0.0056    0.0056    0.0060    0.0061
 -5.198        0.0060    0.0060    0.0064    0.0065
 -5.094        0.0064    0.0064    0.0068    0.0069
 -4.990        0.0068    0.0068    0.0072    0.0073
 -4.886        0.0072    0.0072    0.0076    0.0078
 -4.782        0.0077    0.0077    0.0081    0.0083
 -4.678        0.0081    0.0082    0.0086    0.0088
 -4.574        0.0086    0.0086    0.0092    0.0094
 -4.470        0.0091    0.0091    0.0098    0.0101
 -4.366        0.0096    0.0097    0.0104    0.0108
 -4.262        0.0102    0.0102    0.0112    0.0117
 -4.158        0.0107    0.0108    0.0121    0.0127
 -4.054        0.0113    0.0113    0.0131    0.0139
 -3.950        0.0119    0.0119    0.0143    0.0153
 -3.846        0.0125    0.0125    0.0156    0.0171
 -3.743        0.0131    0.0131    0.0173    0.0192
 -3.639        0.0137    0.0137    0.0192    0.0217
 -3.535        0.0144    0.0144    0.0215    0.0246
 -3.431        0.0150    0.0150    0.0242    0.0281
 -3.327        0.0157    0.0157    0.0274    0.0321
 -3.223        0.0164    0.0164    0.0310    0.0368
 -3.119        0.0171    0.0172    0.0350    0.0420
 -3.015        0.0178    0.0180    0.0396    0.0477
 -2.911        0.0186    0.0189    0.0446    0.0539
 -2.807        0.0194    0.0199    0.0500    0.0606
 -2.703        0.0204    0.0212    0.0559    0.0676
 -2.599        0.0215    0.0228    0.0622    0.0750
 -2.495        0.0229    0.0249    0.0689    0.0827
 -2.391        0.0247    0.0276    0.0762    0.0907
 -2.287        0.0272    0.0313    0.0840    0.0991
 -2.183        0.0305    0.0362    0.0927    0.1081
 -2.079        0.0352    0.0429    0.1023    0.1180
 -1.975        0.0417    0.0518    0.1134    0.1289
 -1.871        0.0506    0.0636    0.1261    0.1413
 -1.767        0.0627    0.0790    0.1410    0.1556
