STIS Model Line Spread Function vs Aperture at 120 nm
Rel pixel      52x0.1    52x0.2    52x0.5    52x2.0
-41.873        0.0000    0.0000    0.0000    0.0005
-41.722        0.0000    0.0000    0.0000    0.0007
-41.570        0.0000    0.0000    0.0000    0.0010
-41.418        0.0000    0.0000    0.0000    0.0012
-41.267        0.0000    0.0000    0.0000    0.0013
-41.115        0.0000    0.0000    0.0000    0.0014
-40.963        0.0000    0.0000    0.0000    0.0014
-40.811        0.0000    0.0000    0.0000    0.0014
-40.660        0.0000    0.0000    0.0000    0.0014
-40.508        0.0000    0.0000    0.0000    0.0015
-40.356        0.0000    0.0000    0.0000    0.0015
-40.205        0.0000    0.0000    0.0000    0.0015
-40.053        0.0000    0.0000    0.0000    0.0015
-39.901        0.0000    0.0000    0.0000    0.0015
-39.749        0.0000    0.0000    0.0000    0.0016
-39.598        0.0000    0.0000    0.0000    0.0016
-39.446        0.0000    0.0000    0.0000    0.0016
-39.294        0.0000    0.0000    0.0000    0.0016
-39.143        0.0000    0.0000    0.0000    0.0016
-38.991        0.0000    0.0000    0.0000    0.0017
-38.839        0.0000    0.0000    0.0000    0.0017
-38.687        0.0000    0.0000    0.0000    0.0017
-38.536        0.0000    0.0000    0.0000    0.0017
-38.384        0.0000    0.0000    0.0000    0.0017
-38.232        0.0000    0.0000    0.0000    0.0018
-38.081        0.0000    0.0000    0.0000    0.0018
-37.929        0.0000    0.0000    0.0000    0.0018
-37.777        0.0000    0.0000    0.0000    0.0018
-37.625        0.0000    0.0000    0.0000    0.0018
-37.474        0.0000    0.0000    0.0000    0.0018
-37.322        0.0000    0.0000    0.0000    0.0019
-37.170        0.0000    0.0000    0.0000    0.0019
-37.019        0.0000    0.0000    0.0000    0.0019
-36.867        0.0000    0.0000    0.0000    0.0019
-36.715        0.0000    0.0000    0.0000    0.0019
-36.563        0.0000    0.0000    0.0000    0.0020
-36.412        0.0000    0.0000    0.0000    0.0020
-36.260        0.0000    0.0000    0.0000    0.0020
-36.108        0.0000    0.0000    0.0000    0.0020
-35.957        0.0000    0.0000    0.0000    0.0020
-35.805        0.0000    0.0000    0.0000    0.0021
-35.653        0.0000    0.0000    0.0000    0.0021
-35.501        0.0000    0.0000    0.0000    0.0021
-35.350        0.0000    0.0000    0.0000    0.0021
-35.198        0.0000    0.0000    0.0000    0.0021
-35.046        0.0000    0.0000    0.0000    0.0022
-34.894        0.0000    0.0000    0.0000    0.0022
-34.743        0.0000    0.0000    0.0000    0.0022
-34.591        0.0000    0.0000    0.0000    0.0022
-34.439        0.0000    0.0000    0.0000    0.0022
-34.288        0.0000    0.0000    0.0000    0.0023
-34.136        0.0000    0.0000    0.0000    0.0023
-33.984        0.0000    0.0000    0.0000    0.0023
-33.832        0.0000    0.0000    0.0000    0.0023
-33.681        0.0000    0.0000    0.0000    0.0023
-33.529        0.0000    0.0000    0.0000    0.0023
-33.377        0.0000    0.0000    0.0000    0.0024
-33.226        0.0000    0.0000    0.0000    0.0024
-33.074        0.0000    0.0000    0.0000    0.0024
-32.922        0.0000    0.0000    0.0000    0.0024
-32.770        0.0000    0.0000    0.0000    0.0025
-32.619        0.0000    0.0000    0.0000    0.0025
-32.467        0.0000    0.0000    0.0000    0.0025
-32.315        0.0000    0.0000    0.0000    0.0026
-32.164        0.0000    0.0000    0.0000    0.0026
-32.012        0.0000    0.0000    0.0000    0.0026
-31.860        0.0000    0.0000    0.0000    0.0026
-31.708        0.0000    0.0000    0.0000    0.0026
-31.557        0.0000    0.0000    0.0000    0.0027
-31.405        0.0000    0.0000    0.0000    0.0027
-31.253        0.0000    0.0000    0.0000    0.0027
-31.102        0.0000    0.0000    0.0000    0.0027
-30.950        0.0000    0.0000    0.0000    0.0028
-30.798        0.0000    0.0000    0.0000    0.0028
-30.646        0.0000    0.0000    0.0000    0.0028
-30.495        0.0000    0.0000    0.0000    0.0029
-30.343        0.0000    0.0000    0.0000    0.0029
-30.191        0.0000    0.0000    0.0000    0.0029
-30.040        0.0000    0.0000    0.0000    0.0030
-29.888        0.0000    0.0000    0.0000    0.0030
-29.736        0.0000    0.0000    0.0000    0.0030
-29.584        0.0000    0.0000    0.0000    0.0031
-29.433        0.0000    0.0000    0.0000    0.0031
-29.281        0.0000    0.0000    0.0000    0.0031
-29.129        0.0000    0.0000    0.0000    0.0032
-28.978        0.0000    0.0000    0.0000    0.0032
-28.826        0.0000    0.0000    0.0000    0.0033
-28.674        0.0000    0.0000    0.0000    0.0033
-28.522        0.0000    0.0000    0.0000    0.0034
-28.371        0.0000    0.0000    0.0000    0.0034
-28.219        0.0000    0.0000    0.0000    0.0034
-28.067        0.0000    0.0000    0.0000    0.0035
