STIS Model Line Spread Function vs Aperture at 120 nm (Modified for linetools)
Rel pixel    0.1x0.03  0.2x0.09   0.2x0.2     6x0.2
  0.000        1.0000    0.7059    0.5620    0.5107
  0.077        0.9772    0.6983    0.5562    0.5054
  0.155        0.9095    0.6726    0.5363    0.4884
  0.232        0.8063    0.6317    0.5048    0.4618
  0.310        0.6813    0.5799    0.4650    0.4285
  0.387        0.5494    0.5218    0.4211    0.3918
  0.465        0.4241    0.4618    0.3766    0.3546
  0.542        0.3151    0.4032    0.3346    0.3195
  0.620        0.2274    0.3482    0.2971    0.2882
  0.697        0.1619    0.2977    0.2651    0.2614
  0.775        0.1163    0.2522    0.2388    0.2393
  0.852        0.0867    0.2115    0.2175    0.2214
  0.930        0.0686    0.1754    0.2006    0.2070
  1.007        0.0582    0.1442    0.1869    0.1952
  1.084        0.0524    0.1177    0.1755    0.1854
  1.162        0.0492    0.0961    0.1655    0.1767
  1.239        0.0474    0.0791    0.1565    0.1687
  1.317        0.0462    0.0665    0.1479    0.1610
  1.394        0.0453    0.0575    0.1396    0.1534
  1.472        0.0445    0.0513    0.1314    0.1460
  1.549        0.0437    0.0473    0.1234    0.1384
  1.627        0.0429    0.0446    0.1154    0.1308
  1.704        0.0420    0.0428    0.1075    0.1229
  1.782        0.0412    0.0414    0.0995    0.1147
  1.859        0.0403    0.0403    0.0915    0.1060
  1.936        0.0394    0.0394    0.0834    0.0968
  2.014        0.0385    0.0384    0.0753    0.0872
  2.091        0.0375    0.0375    0.0674    0.0776
  2.169        0.0366    0.0366    0.0600    0.0682
  2.246        0.0357    0.0357    0.0532    0.0596
  2.324        0.0347    0.0347    0.0473    0.0520
  2.401        0.0337    0.0338    0.0424    0.0456
  2.479        0.0328    0.0329    0.0385    0.0406
  2.556        0.0318    0.0319    0.0355    0.0368
  2.634        0.0308    0.0310    0.0332    0.0339
  2.711        0.0299    0.0300    0.0315    0.0318
  2.789        0.0289    0.0291    0.0301    0.0302
  2.866        0.0280    0.0282    0.0289    0.0290
  2.943        0.0270    0.0272    0.0279    0.0279
  3.021        0.0261    0.0263    0.0270    0.0270
  3.098        0.0252    0.0254    0.0261    0.0261
  3.176        0.0242    0.0245    0.0252    0.0252
  3.253        0.0233    0.0236    0.0243    0.0244
  3.331        0.0224    0.0227    0.0235    0.0235
  3.408        0.0216    0.0218    0.0226    0.0227
  3.486        0.0207    0.0210    0.0218    0.0219
  3.563        0.0198    0.0201    0.0210    0.0211
  3.641        0.0190    0.0193    0.0202    0.0203
  3.718        0.0182    0.0185    0.0194    0.0195
  3.796        0.0174    0.0177    0.0186    0.0187
  3.873        0.0166    0.0169    0.0179    0.0180
  3.950        0.0159    0.0162    0.0171    0.0173
  4.028        0.0151    0.0155    0.0164    0.0165
  4.105        0.0144    0.0147    0.0157    0.0158
  4.183        0.0137    0.0141    0.0150    0.0152
  4.260        0.0131    0.0134    0.0143    0.0145
  4.338        0.0124    0.0127    0.0137    0.0138
  4.415        0.0118    0.0121    0.0131    0.0132
  4.493        0.0112    0.0115    0.0124    0.0126
  4.570        0.0106    0.0109    0.0118    0.0120
  4.648        0.0100    0.0103    0.0113    0.0114
