STIS Model Line Spread Function vs Aperture at 120 nm (Modified for linetools)
Rel pixel    0.1x0.03  0.2x0.06   0.2x0.2     6x0.2
  2.728        0.0324    0.0325    0.0573    0.0663
  2.829        0.0311    0.0312    0.0496    0.0565
  2.930        0.0297    0.0299    0.0427    0.0476
  3.031        0.0284    0.0285    0.0370    0.0401
  3.132        0.0271    0.0272    0.0326    0.0344
  3.233        0.0258    0.0260    0.0294    0.0304
  3.335        0.0245    0.0247    0.0271    0.0276
  3.436        0.0232    0.0235    0.0253    0.0256
  3.537        0.0220    0.0222    0.0239    0.0242
  3.638        0.0208    0.0211    0.0227    0.0229
  3.739        0.0197    0.0199    0.0216    0.0218
  3.840        0.0186    0.0188    0.0205    0.0208
  3.941        0.0175    0.0177    0.0195    0.0197
  4.042        0.0164    0.0167    0.0185    0.0187
  4.143        0.0154    0.0157    0.0175    0.0178
  4.244        0.0145    0.0147    0.0166    0.0168
  4.345        0.0135    0.0138    0.0157    0.0159
  4.446        0.0127    0.0129    0.0148    0.0151
  4.547        0.0118    0.0120    0.0139    0.0142
  4.648        0.0110    0.0112    0.0131    0.0134
  4.749        0.0102    0.0105    0.0123    0.0126
  4.850        0.0095    0.0097    0.0115    0.0118
  4.951        0.0088    0.0090    0.0108    0.0111
  5.052        0.0081    0.0084    0.0101    0.0104
  5.153        0.0075    0.0077    0.0094    0.0097
  5.254        0.0069    0.0072    0.0088    0.0091
  5.355        0.0064    0.0066    0.0082    0.0085
  5.457        0.0059    0.0061    0.0076    0.0079
  5.558        0.0054    0.0056    0.0071    0.0074
  5.659        0.0050    0.0051    0.0066    0.0069
  5.760        0.0045    0.0047    0.0061    0.0064
  5.861        0.0042    0.0043    0.0057    0.0059
  5.962        0.0038    0.0039    0.0052    0.0055
  6.063        0.0035    0.0036    0.0048    0.0051
  6.164        0.0031    0.0033    0.0045    0.0047
  6.265        0.0029    0.0030    0.0041    0.0043
  6.366        0.0026    0.0027    0.0038    0.0040
  6.467        0.0023    0.0025    0.0035    0.0037
  6.568        0.0021    0.0022    0.0032    0.0034
  6.669        0.0019    0.0020    0.0029    0.0031
  6.770        0.0017    0.0018    0.0027    0.0028
  6.871        0.0016    0.0016    0.0024    0.0026
  6.972        0.0014    0.0015    0.0022    0.0024
  7.073        0.0013    0.0013    0.0020    0.0022
  7.174        0.0011    0.0012    0.0018    0.0020
  7.275        0.0010    0.0011    0.0017    0.0018
  7.376        0.0009    0.0010    0.0015    0.0016
  7.477        0.0008    0.0009    0.0014    0.0015
  7.578        0.0007    0.0008    0.0012    0.0013
  7.680        0.0006    0.0007    0.0011    0.0012
  7.781        0.0006    0.0006    0.0010    0.0011
  7.882        0.0005    0.0005    0.0009    0.0010
  7.983        0.0004    0.0005    0.0008    0.0009
  8.084        0.0004    0.0004    0.0007    0.0008
  8.185        0.0003    0.0004    0.0007    0.0007
  8.286        0.0003    0.0003    0.0006    0.0007
  8.387        0.0003    0.0003    0.0005    0.0006
  8.488        0.0002    0.0003    0.0005    0.0005
  8.589        0.0002    0.0002    0.0004    0.0005
  8.690        0.0002    0.0002    0.0004    0.0004
  8.791        0.0002    0.0002    0.0003    0.0004
  8.892        0.0001    0.0001    0.0003    0.0003
  8.993        0.0001    0.0001    0.0003    0.0003
  9.094        0.0001    0.0001    0.0002    0.0003
  9.195        0.0001    0.0001    0.0002    0.0002
  9.296        0.0001    0.0001    0.0002    0.0002
  9.397        0.0001    0.0001    0.0002    0.0002
  9.498        0.0001    0.0001    0.0001    0.0002
  
