STIS Model Line Spread Function vs Aperture at 150 nm
Rel pixel      52x0.1    52x0.2    52x0.5    52x2.0
-41.722        0.0000    0.0000    0.0000    0.0005
-41.570        0.0000    0.0000    0.0000    0.0007
-41.418        0.0000    0.0000    0.0000    0.0008
-41.267        0.0000    0.0000    0.0000    0.0009
-41.115        0.0000    0.0000    0.0000    0.0009
-40.963        0.0000    0.0000    0.0000    0.0010
-40.811        0.0000    0.0000    0.0000    0.0010
-40.660        0.0000    0.0000    0.0000    0.0010
-40.508        0.0000    0.0000    0.0000    0.0010
-40.356        0.0000    0.0000    0.0000    0.0010
-40.205        0.0000    0.0000    0.0000    0.0010
-40.053        0.0000    0.0000    0.0000    0.0011
-39.901        0.0000    0.0000    0.0000    0.0011
-39.749        0.0000    0.0000    0.0000    0.0011
-39.598        0.0000    0.0000    0.0000    0.0011
-39.446        0.0000    0.0000    0.0000    0.0011
-39.294        0.0000    0.0000    0.0000    0.0011
-39.143        0.0000    0.0000    0.0000    0.0011
-38.991        0.0000    0.0000    0.0000    0.0011
-38.839        0.0000    0.0000    0.0000    0.0012
-38.687        0.0000    0.0000    0.0000    0.0012
-38.536        0.0000    0.0000    0.0000    0.0012
-38.384        0.0000    0.0000    0.0000    0.0012
-38.232        0.0000    0.0000    0.0000    0.0012
-38.081        0.0000    0.0000    0.0000    0.0012
-37.929        0.0000    0.0000    0.0000    0.0013
-37.777        0.0000    0.0000    0.0000    0.0013
-37.625        0.0000    0.0000    0.0000    0.0013
-37.474        0.0000    0.0000    0.0000    0.0013
-37.322        0.0000    0.0000    0.0000    0.0013
-37.170        0.0000    0.0000    0.0000    0.0013
-37.019        0.0000    0.0000    0.0000    0.0013
-36.867        0.0000    0.0000    0.0000    0.0013
-36.715        0.0000    0.0000    0.0000    0.0013
-36.563        0.0000    0.0000    0.0000    0.0014
-36.412        0.0000    0.0000    0.0000    0.0014
-36.260        0.0000    0.0000    0.0000    0.0014
-36.108        0.0000    0.0000    0.0000    0.0014
-35.957        0.0000    0.0000    0.0000    0.0015
