STIS Model Line Spread Function vs Aperture at 320 nm
Rel_pixel      52x0.1    52x0.2    52x0.5    52x2.0
-10.993        0.0000    0.0000    0.0000    0.0031
-10.920        0.0000    0.0000    0.0000    0.0032
-10.847        0.0000    0.0000    0.0000    0.0032
-10.774        0.0000    0.0000    0.0000    0.0033
-10.702        0.0000    0.0000    0.0000    0.0033
-10.629        0.0000    0.0000    0.0000    0.0033
-10.556        0.0000    0.0000    0.0000    0.0034
-10.483        0.0000    0.0000    0.0000    0.0034
-10.410        0.0000    0.0000    0.0000    0.0034
-10.338        0.0000    0.0000    0.0000    0.0035
-10.265        0.0000    0.0000    0.0000    0.0035
-10.192        0.0000    0.0000    0.0000    0.0035
-10.119        0.0000    0.0000    0.0000    0.0035
-10.046        0.0000    0.0000    0.0000    0.0035
 -9.974        0.0000    0.0000    0.0000    0.0036
 -9.901        0.0000    0.0000    0.0000    0.0036
 -9.828        0.0000    0.0000    0.0000    0.0036
 -9.755        0.0000    0.0000    0.0000    0.0036
 -9.682        0.0000    0.0000    0.0000    0.0037
 -9.610        0.0000    0.0000    0.0000    0.0037
 -9.537        0.0000    0.0000    0.0000    0.0038
 -9.464        0.0000    0.0000    0.0000    0.0039
 -9.391        0.0000    0.0000    0.0000    0.0040
 -9.318        0.0000    0.0000    0.0000    0.0040
 -9.246        0.0000    0.0000    0.0000    0.0041
 -9.173        0.0000    0.0000    0.0000    0.0042
 -9.100        0.0000    0.0000    0.0000    0.0043
 -9.027        0.0000    0.0000    0.0000    0.0044
 -8.954        0.0000    0.0000    0.0000    0.0045
 -8.882        0.0000    0.0000    0.0000    0.0047
 -8.809        0.0000    0.0000    0.0000    0.0048
 -8.736        0.0000    0.0000    0.0000    0.0048
 -8.663        0.0000    0.0000    0.0000    0.0049
 -8.590        0.0000    0.0000    0.0000    0.0050
 -8.518        0.0000    0.0000    0.0000    0.0051
 -8.445        0.0000    0.0000    0.0000    0.0052
 -8.372        0.0000    0.0000    0.0000    0.0053
 -8.299        0.0000    0.0000    0.0000    0.0053
 -8.226        0.0000    0.0000    0.0000    0.0054
 -8.154        0.0000    0.0000    0.0000    0.0055
 -8.081        0.0000    0.0000    0.0000    0.0055
 -8.008        0.0000    0.0000    0.0000    0.0056
 -7.935        0.0000    0.0000    0.0000    0.0056
 -7.862        0.0000    0.0000    0.0000    0.0057
 -7.790        0.0000    0.0000    0.0000    0.0057
 -7.717        0.0000    0.0000    0.0000    0.0057
 -7.644        0.0000    0.0000    0.0000    0.0058
 -7.571        0.0000    0.0000    0.0000    0.0058
 -7.498        0.0000    0.0000    0.0000    0.0058
 -7.426        0.0000    0.0000    0.0000    0.0058
 -7.353        0.0000    0.0000    0.0000    0.0059
 -7.280        0.0000    0.0000    0.0000    0.0059
 -7.207        0.0000    0.0000    0.0000    0.0059
 -7.134        0.0000    0.0000    0.0000    0.0060
 -7.062        0.0000    0.0000    0.0000    0.0061
 -6.989        0.0000    0.0000    0.0000    0.0062
 -6.916        0.0000    0.0000    0.0000    0.0063
 -6.843        0.0000    0.0000    0.0000    0.0064
 -6.770        0.0000    0.0000    0.0000    0.0066
 -6.698        0.0000    0.0000    0.0000    0.0068
 -6.625        0.0000    0.0000    0.0000    0.0070
 -6.552        0.0000    0.0000    0.0000    0.0072
 -6.479        0.0000    0.0000    0.0000    0.0075
 -6.406        0.0000    0.0000    0.0000    0.0077
 -6.334        0.0000    0.0000    0.0000    0.0080
 -6.261        0.0000    0.0000    0.0000    0.0082
 -6.188        0.0000    0.0000    0.0000    0.0084
 -6.115        0.0000    0.0000    0.0001    0.0086
 -6.042        0.0000    0.0000    0.0001    0.0088
 -5.970        0.0000    0.0000    0.0001    0.0090
 -5.897        0.0000    0.0000    0.0002    0.0091
 -5.824        0.0000    0.0000    0.0003    0.0093
 -5.751        0.0000    0.0000    0.0005    0.0094
 -5.678        0.0000    0.0000    0.0007    0.0095
 -5.606        0.0000    0.0000    0.0009    0.0096
 -5.533        0.0000    0.0000    0.0012    0.0096
 -5.460        0.0000    0.0000    0.0017    0.0097
 -5.387        0.0000    0.0000    0.0021    0.0098
 -5.314        0.0000    0.0000    0.0027    0.0099
 -5.242        0.0000    0.0000    0.0034    0.0100
 -5.169        0.0000    0.0000    0.0041    0.0101
 -5.096        0.0000    0.0000    0.0049    0.0102
 -5.023        0.0000    0.0000    0.0057    0.0103
 -4.950        0.0000    0.0000    0.0065    0.0104
 -4.878        0.0000    0.0000    0.0072    0.0105
 -4.805        0.0000    0.0000    0.0080    0.0106
 -4.732        0.0000    0.0000    0.0087    0.0106
 -4.659        0.0000    0.0000    0.0093    0.0107
 -4.586        0.0000    0.0000    0.0099    0.0108
 -4.514        0.0000    0.0000    0.0105    0.0109
 -4.441        0.0000    0.0000    0.0109    0.0111
 -4.368        0.0000    0.0000    0.0114    0.0112
 -4.295        0.0000    0.0000    0.0118    0.0114
 -4.222        0.0000    0.0000    0.0123    0.0117
 -4.150        0.0000    0.0000    0.0128    0.0120
 -4.077        0.0000    0.0000    0.0133    0.0124
 -4.004        0.0000    0.0000    0.0138    0.0128
 -3.931        0.0000    0.0000    0.0144    0.0133
 -3.858        0.0000    0.0000    0.0150    0.0139
 -3.786        0.0000    0.0000    0.0156    0.0145
 -3.713        0.0000    0.0000    0.0163    0.0151
 -3.640        0.0000    0.0000    0.0170    0.0158
 -3.567        0.0000    0.0000    0.0178    0.0164
 -3.494        0.0000    0.0000    0.0185    0.0171
 -3.422        0.0000    0.0000    0.0193    0.0179
 -3.349        0.0000    0.0000    0.0201    0.0186
 -3.276        0.0000    0.0001    0.0209    0.0193
 -3.203        0.0000    0.0001    0.0216    0.0200
 -3.130        0.0000    0.0002    0.0224    0.0207
 -3.058        0.0000    0.0003    0.0232    0.0214
 -2.985        0.0000    0.0004    0.0239    0.0221
 -2.912        0.0000    0.0007    0.0247    0.0228
 -2.839        0.0000    0.0010    0.0255    0.0236
 -2.766        0.0000    0.0015    0.0263    0.0243
 -2.694        0.0000    0.0022    0.0271    0.0251
 -2.621        0.0000    0.0031    0.0280    0.0258
 -2.548        0.0000    0.0042    0.0289    0.0267
 -2.475        0.0001    0.0058    0.0298    0.0276
 -2.402        0.0001    0.0076    0.0308    0.0285
 -2.330        0.0002    0.0099    0.0320    0.0295
 -2.257        0.0003    0.0127    0.0332    0.0307
 -2.184        0.0006    0.0159    0.0346    0.0320
 -2.111        0.0010    0.0195    0.0363    0.0335
 -2.038        0.0017    0.0237    0.0382    0.0353
 -1.966        0.0028    0.0285    0.0406    0.0375
 -1.893        0.0044    0.0339    0.0435    0.0402
 -1.820        0.0067    0.0399    0.0470    0.0435
 -1.747        0.0101    0.0467    0.0514    0.0475
 -1.674        0.0149    0.0545    0.0568    0.0525
 -1.602        0.0215    0.0635    0.0634    0.0586
 -1.529        0.0304    0.0740    0.0716    0.0662
 -1.456        0.0420    0.0862    0.0817    0.0755
 -1.383        0.0570    0.1007    0.0940    0.0869
 -1.310        0.0760    0.1178    0.1089    0.1007
 -1.238        0.0995    0.1382    0.1269    0.1173
 -1.165        0.1282    0.1624    0.1485    0.1373
 -1.092        0.1627    0.1910    0.1742    0.1611
 -1.019        0.2035    0.2245    0.2045    0.1891
 -0.946        0.2508    0.2635    0.2399    0.2218
 -0.874        0.3049    0.3083    0.2805    0.2593
 -0.801        0.3655    0.3589    0.3265    0.3018
 -0.728        0.4322    0.4151    0.3776    0.3490
 -0.655        0.5039    0.4761    0.4330    0.4003
 -0.582        0.5791    0.5406    0.4917    0.4546
 -0.510        0.6558    0.6070    0.5521    0.5104
 -0.437        0.7315    0.6730    0.6121    0.5658
 -0.364        0.8031    0.7358    0.6692    0.6187
 -0.291        0.8677    0.7927    0.7210    0.6665
 -0.218        0.9222    0.8409    0.7648    0.7071
 -0.146        0.9637    0.8778    0.7984    0.7381
 -0.073        0.9901    0.9013    0.8198    0.7579
  0.000        1.0000    0.9102    0.8279    0.7653
  0.073        0.9929    0.9040    0.8222    0.7601
  0.146        0.9691    0.8832    0.8033    0.7426
