STIS Model Line Spread Function vs Aperture at 240 nm
Rel pixel    0.1x0.03  0.1x0.09   0.1x0.2     6x0.2
 -8.521        0.0001    0.0001    0.0001    0.0001
 -8.443        0.0001    0.0001    0.0001    0.0001
 -8.366        0.0001    0.0001    0.0001    0.0001
 -8.288        0.0001    0.0001    0.0001    0.0002
 -8.211        0.0001    0.0001    0.0002    0.0002
 -8.133        0.0001    0.0002    0.0002    0.0002
 -8.056        0.0002    0.0002    0.0002    0.0002
 -7.978        0.0002    0.0002    0.0002    0.0002
 -7.901        0.0002    0.0002    0.0002    0.0002
 -7.823        0.0002    0.0002    0.0002    0.0003
 -7.746        0.0002    0.0002    0.0003    0.0003
 -7.668        0.0002    0.0003    0.0003    0.0003
 -7.591        0.0003    0.0003    0.0003    0.0003
 -7.514        0.0003    0.0003    0.0003    0.0004
 -7.436        0.0003    0.0003    0.0004    0.0004
 -7.359        0.0003    0.0004    0.0004    0.0004
 -7.281        0.0004    0.0004    0.0004    0.0005
 -7.204        0.0004    0.0004    0.0005    0.0005
 -7.126        0.0005    0.0005    0.0005    0.0006
 -7.049        0.0005    0.0005    0.0006    0.0006
 -6.971        0.0005    0.0006    0.0006    0.0007
 -6.894        0.0006    0.0006    0.0007    0.0007
 -6.816        0.0006    0.0007    0.0007    0.0008
 -6.739        0.0007    0.0007    0.0008    0.0008
 -6.661        0.0008    0.0008    0.0009    0.0009
 -6.584        0.0008    0.0009    0.0009    0.0010
 -6.507        0.0009    0.0009    0.0010    0.0011
 -6.429        0.0010    0.0010    0.0011    0.0012
 -6.352        0.0011    0.0011    0.0012    0.0013
 -6.274        0.0011    0.0012    0.0013    0.0014
 -6.197        0.0012    0.0013    0.0014    0.0015
 -6.119        0.0014    0.0014    0.0015    0.0016
 -6.042        0.0015    0.0015    0.0016    0.0018
 -5.964        0.0016    0.0017    0.0018    0.0019
 -5.887        0.0017    0.0018    0.0019    0.0020
 -5.809        0.0019    0.0019    0.0021    0.0022
 -5.732        0.0020    0.0021    0.0023    0.0024
 -5.655        0.0022    0.0023    0.0024    0.0026
 -5.577        0.0024    0.0025    0.0026    0.0028
 -5.500        0.0026    0.0027    0.0028    0.0030
 -5.422        0.0028    0.0029    0.0031    0.0032
 -5.345        0.0030    0.0031    0.0033    0.0035
 -5.267        0.0033    0.0034    0.0036    0.0037
 -5.190        0.0035    0.0036    0.0038    0.0040
 -5.112        0.0038    0.0039    0.0041    0.0043
 -5.035        0.0041    0.0042    0.0044    0.0046
 -4.957        0.0044    0.0045    0.0048    0.0050
 -4.880        0.0048    0.0049    0.0051    0.0053
 -4.802        0.0051    0.0052    0.0055    0.0057
 -4.725        0.0055    0.0056    0.0059    0.0061
 -4.648        0.0059    0.0060    0.0063    0.0065
 -4.570        0.0063    0.0064    0.0067    0.0069
 -4.493        0.0068    0.0069    0.0072    0.0074
 -4.415        0.0073    0.0074    0.0076    0.0079
 -4.338        0.0078    0.0079    0.0082    0.0084
 -4.260        0.0083    0.0084    0.0087    0.0090
 -4.183        0.0088    0.0090    0.0093    0.0095
 -4.105        0.0094    0.0095    0.0098    0.0101
 -4.028        0.0100    0.0102    0.0105    0.0108
 -3.950        0.0107    0.0108    0.0111    0.0114
 -3.873        0.0114    0.0115    0.0118    0.0121
 -3.796        0.0121    0.0122    0.0125    0.0129
 -3.718        0.0128    0.0129    0.0133    0.0137
 -3.641        0.0135    0.0136    0.0141    0.0145
 -3.563        0.0143    0.0144    0.0149    0.0154
 -3.486        0.0152    0.0152    0.0158    0.0164
 -3.408        0.0160    0.0161    0.0168    0.0175
 -3.331        0.0169    0.0169    0.0178    0.0187
 -3.253        0.0178    0.0178    0.0190    0.0200
 -3.176        0.0187    0.0188    0.0202    0.0215
 -3.098        0.0197    0.0197    0.0215    0.0231
 -3.021        0.0207    0.0207    0.0230    0.0250
 -2.943        0.0217    0.0218    0.0245    0.0271
 -2.866        0.0227    0.0229    0.0263    0.0294
 -2.789        0.0238    0.0240    0.0283    0.0321
 -2.711        0.0249    0.0252    0.0304    0.0351
 -2.634        0.0261    0.0265    0.0328    0.0384
 -2.556        0.0273    0.0279    0.0355    0.0422
 -2.479        0.0286    0.0295    0.0384    0.0463
 -2.401        0.0299    0.0313    0.0417    0.0509
 -2.324        0.0315    0.0334    0.0453    0.0560
 -2.246        0.0331    0.0359    0.0495    0.0616
 -2.169        0.0351    0.0389    0.0541    0.0677
 -2.091        0.0374    0.0425    0.0594    0.0745
 -2.014        0.0403    0.0471    0.0654    0.0821
 -1.936        0.0438    0.0526    0.0724    0.0905
 -1.859        0.0483    0.0596    0.0806    0.0999
 -1.782        0.0541    0.0682    0.0901    0.1105
 -1.704        0.0615    0.0788    0.1013    0.1225
 -1.627        0.0710    0.0919    0.1145    0.1363
 -1.549        0.0831    0.1077    0.1300    0.1519
 -1.472        0.0985    0.1269    0.1483    0.1699
 -1.394        0.1179    0.1497    0.1697    0.1904
 -1.317        0.1419    0.1765    0.1945    0.2138
 -1.239        0.1712    0.2078    0.2230    0.2404
 -1.162        0.2064    0.2436    0.2556    0.2702
 -1.084        0.2480    0.2840    0.2922    0.3034
 -1.007        0.2961    0.3290    0.3327    0.3399
 -0.930        0.3507    0.3782    0.3770    0.3795
 -0.852        0.4115    0.4310    0.4246    0.4217
 -0.775        0.4774    0.4866    0.4747    0.4660
 -0.697        0.5474    0.5440    0.5264    0.5116
 -0.620        0.6196    0.6018    0.5786    0.5575
 -0.542        0.6920    0.6587    0.6299    0.6025
 -0.465        0.7622    0.7129    0.6789    0.6454
 -0.387        0.8276    0.7627    0.7241    0.6848
 -0.310        0.8856    0.8067    0.7639    0.7195
 -0.232        0.9337    0.8431    0.7970    0.7483
 -0.155        0.9698    0.8707    0.8221    0.7702
 -0.077        0.9923    0.8885    0.8383    0.7842
  0.000        1.0000    0.8957    0.8450    0.7900
  0.077        0.9926    0.8922    0.8419    0.7872
  0.155        0.9704    0.8780    0.8292    0.7760
  0.232        0.9345    0.8538    0.8073    0.7569
  0.310        0.8866    0.8204    0.7772    0.7306
  0.387        0.8287    0.7792    0.7399    0.6981
  0.465        0.7634    0.7315    0.6969    0.6605
  0.542        0.6933    0.6791    0.6495    0.6191
  0.620        0.6210    0.6234    0.5993    0.5752
  0.697        0.5487    0.5662    0.5477    0.5301
  0.775        0.4787    0.5090    0.4961    0.4849
  0.852        0.4126    0.4530    0.4457    0.4405
  0.930        0.3518    0.3995    0.3974    0.3980
  1.007        0.2970    0.3492    0.3520    0.3578
  1.084        0.2488    0.3028    0.3101    0.3205
  1.162        0.2071    0.2608    0.2720    0.2864
  1.239        0.1718    0.2233    0.2379    0.2555
  1.317        0.1424    0.1903    0.2077    0.2279
  1.394        0.1183    0.1617    0.1813    0.2034
  1.472        0.0988    0.1372    0.1584    0.1818
  1.549        0.0834    0.1165    0.1388    0.1629
  1.627        0.0712    0.0992    0.1220    0.1463
  1.704        0.0616    0.0849    0.1078    0.1317
  1.782        0.0542    0.0731    0.0957    0.1189
  1.859        0.0484    0.0636    0.0854    0.1076
  1.936        0.0439    0.0559    0.0766    0.0976
  2.014        0.0403    0.0497    0.0691    0.0886
  2.091        0.0375    0.0446    0.0627    0.0805
  2.169        0.0352    0.0406    0.0570    0.0731
  2.246        0.0332    0.0373    0.0521    0.0664
  2.324        0.0315    0.0346    0.0477    0.0604
  2.401        0.0300    0.0323    0.0438    0.0548
  2.479        0.0286    0.0303    0.0403    0.0498
  2.556        0.0273    0.0286    0.0372    0.0452
  2.634        0.0261    0.0271    0.0344    0.0411
  2.711        0.0249    0.0258    0.0318    0.0374
  2.789        0.0238    0.0245    0.0295    0.0341
  2.866        0.0227    0.0233    0.0274    0.0312
  2.943        0.0217    0.0222    0.0255    0.0286
  3.021        0.0207    0.0212    0.0238    0.0263
  3.098        0.0197    0.0202    0.0223    0.0242
  3.176        0.0187    0.0192    0.0209    0.0224
  3.253        0.0178    0.0182    0.0196    0.0208
  3.331        0.0169    0.0173    0.0184    0.0194
  3.408        0.0160    0.0164    0.0173    0.0181
  3.486        0.0152    0.0156    0.0163    0.0170
  3.563        0.0143    0.0148    0.0154    0.0160
  3.641        0.0136    0.0140    0.0145    0.0150
  3.718        0.0128    0.0132    0.0137    0.0141
  3.796        0.0121    0.0125    0.0129    0.0133
  3.873        0.0114    0.0118    0.0121    0.0125
  3.950        0.0107    0.0111    0.0114    0.0118
  4.028        0.0101    0.0104    0.0108    0.0111
  4.105        0.0094    0.0098    0.0101    0.0105
  4.183        0.0089    0.0092    0.0095    0.0099
  4.260        0.0083    0.0086    0.0090    0.0093
  4.338        0.0078    0.0081    0.0084    0.0087
  4.415        0.0073    0.0076    0.0079    0.0082
  4.493        0.0068    0.0071    0.0074    0.0077
  4.570        0.0063    0.0066    0.0069    0.0072
  4.648        0.0059    0.0062    0.0065    0.0068
  4.725        0.0055    0.0058    0.0061    0.0063
  4.802        0.0051    0.0054    0.0057    0.0059
  4.880        0.0048    0.0050    0.0053    0.0055
  4.957        0.0044    0.0047    0.0049    0.0052
  5.035        0.0041    0.0043    0.0046    0.0048
  5.112        0.0038    0.0040    0.0043    0.0045
  5.190        0.0035    0.0038    0.0040    0.0042
  5.267        0.0033    0.0035    0.0037    0.0039
  5.345        0.0030    0.0032    0.0034    0.0036
  5.422        0.0028    0.0030    0.0032    0.0034
  5.500        0.0026    0.0028    0.0029    0.0031
  5.577        0.0024    0.0026    0.0027    0.0029
  5.655        0.0022    0.0024    0.0025    0.0027
  5.732        0.0020    0.0022    0.0023    0.0025
  5.809        0.0019    0.0020    0.0022    0.0023
  5.887        0.0017    0.0019    0.0020    0.0021
  5.964        0.0016    0.0017    0.0019    0.0020
  6.042        0.0015    0.0016    0.0017    0.0018
