STIS Model Line Spread Function vs Aperture at 240 nm
Rel pixel    0.1x0.03  0.2x0.06   0.2x0.2     6x0.2
 -8.629        0.0001    0.0001    0.0001    0.0001
 -8.525        0.0001    0.0001    0.0001    0.0002
 -8.421        0.0001    0.0001    0.0002    0.0002
 -8.317        0.0001    0.0001    0.0002    0.0002
 -8.213        0.0001    0.0001    0.0002    0.0002
 -8.109        0.0002    0.0002    0.0002    0.0002
 -8.005        0.0002    0.0002    0.0002    0.0003
 -7.901        0.0002    0.0002    0.0003    0.0003
 -7.797        0.0002    0.0002    0.0003    0.0003
 -7.693        0.0003    0.0003    0.0004    0.0004
 -7.589        0.0003    0.0003    0.0004    0.0004
 -7.485        0.0003    0.0003    0.0004    0.0005
 -7.381        0.0004    0.0004    0.0005    0.0005
 -7.277        0.0004    0.0004    0.0005    0.0006
 -7.173        0.0004    0.0005    0.0006    0.0007
 -7.069        0.0005    0.0005    0.0007    0.0007
 -6.965        0.0006    0.0006    0.0008    0.0008
 -6.861        0.0006    0.0007    0.0009    0.0009
 -6.757        0.0007    0.0007    0.0010    0.0010
 -6.653        0.0008    0.0008    0.0011    0.0011
 -6.549        0.0009    0.0009    0.0012    0.0013
 -6.445        0.0010    0.0010    0.0013    0.0014
 -6.341        0.0011    0.0012    0.0015    0.0016
 -6.238        0.0012    0.0013    0.0016    0.0017
 -6.134        0.0014    0.0014    0.0018    0.0019
 -6.030        0.0016    0.0016    0.0020    0.0021
 -5.926        0.0017    0.0018    0.0022    0.0023
 -5.822        0.0019    0.0020    0.0024    0.0026
 -5.718        0.0022    0.0022    0.0027    0.0028
 -5.614        0.0024    0.0025    0.0030    0.0031
 -5.510        0.0027    0.0028    0.0033    0.0034
 -5.406        0.0030    0.0031    0.0036    0.0038
 -5.302        0.0033    0.0034    0.0040    0.0042
 -5.198        0.0036    0.0038    0.0044    0.0046
 -5.094        0.0040    0.0042    0.0048    0.0050
 -4.990        0.0045    0.0046    0.0052    0.0055
 -4.886        0.0049    0.0050    0.0057    0.0060
 -4.782        0.0054    0.0055    0.0063    0.0065
 -4.678        0.0060    0.0061    0.0069    0.0071
 -4.574        0.0065    0.0067    0.0075    0.0078
 -4.470        0.0072    0.0073    0.0082    0.0085
 -4.366        0.0078    0.0080    0.0089    0.0093
 -4.262        0.0086    0.0087    0.0098    0.0102
 -4.158        0.0093    0.0095    0.0107    0.0112
 -4.054        0.0102    0.0103    0.0118    0.0123
 -3.950        0.0111    0.0112    0.0130    0.0137
 -3.846        0.0120    0.0121    0.0144    0.0152
 -3.743        0.0130    0.0131    0.0159    0.0170
 -3.639        0.0140    0.0142    0.0178    0.0192
 -3.535        0.0151    0.0153    0.0199    0.0217
 -3.431        0.0163    0.0164    0.0223    0.0246
 -3.327        0.0175    0.0176    0.0250    0.0279
 -3.223        0.0187    0.0189    0.0281    0.0316
 -3.119        0.0200    0.0202    0.0315    0.0358
 -3.015        0.0214    0.0216    0.0352    0.0404
 -2.911        0.0228    0.0230    0.0392    0.0453
 -2.807        0.0243    0.0246    0.0435    0.0505
