STIS Model Line Spread Function vs Aperture at 170 nm
Rel pixel    0.1x0.03  0.1x0.09   0.1x0.2     6x0.2
 -9.915        0.0001    0.0001    0.0001    0.0001
 -9.837        0.0001    0.0001    0.0001    0.0001
 -9.760        0.0001    0.0001    0.0001    0.0001
 -9.682        0.0001    0.0001    0.0001    0.0001
 -9.605        0.0001    0.0001    0.0001    0.0002
 -9.527        0.0001    0.0001    0.0002    0.0002
 -9.450        0.0001    0.0002    0.0002    0.0002
 -9.373        0.0002    0.0002    0.0002    0.0002
 -9.295        0.0002    0.0002    0.0002    0.0002
 -9.218        0.0002    0.0002    0.0002    0.0002
 -9.140        0.0002    0.0002    0.0002    0.0003
 -9.063        0.0002    0.0002    0.0003    0.0003
 -8.985        0.0002    0.0003    0.0003    0.0003
 -8.908        0.0003    0.0003    0.0003    0.0003
 -8.830        0.0003    0.0003    0.0003    0.0004
 -8.753        0.0003    0.0003    0.0004    0.0004
 -8.675        0.0003    0.0003    0.0004    0.0004
 -8.598        0.0004    0.0004    0.0004    0.0004
 -8.521        0.0004    0.0004    0.0004    0.0005
 -8.443        0.0004    0.0004    0.0005    0.0005
 -8.366        0.0005    0.0005    0.0005    0.0005
 -8.288        0.0005    0.0005    0.0005    0.0006
 -8.211        0.0005    0.0005    0.0006    0.0006
 -8.133        0.0006    0.0006    0.0006    0.0007
 -8.056        0.0006    0.0006    0.0007    0.0007
 -7.978        0.0007    0.0007    0.0007    0.0008
 -7.901        0.0007    0.0007    0.0008    0.0008
 -7.823        0.0008    0.0008    0.0008    0.0009
 -7.746        0.0008    0.0008    0.0009    0.0009
 -7.668        0.0009    0.0009    0.0010    0.0010
 -7.591        0.0009    0.0010    0.0010    0.0011
 -7.514        0.0010    0.0010    0.0011    0.0012
 -7.436        0.0011    0.0011    0.0012    0.0012
 -7.359        0.0012    0.0012    0.0012    0.0013
 -7.281        0.0012    0.0013    0.0013    0.0014
 -7.204        0.0013    0.0013    0.0014    0.0015
 -7.126        0.0014    0.0014    0.0015    0.0016
 -7.049        0.0015    0.0015    0.0016    0.0017
 -6.971        0.0016    0.0016    0.0017    0.0018
 -6.894        0.0017    0.0017    0.0018    0.0019
 -6.816        0.0018    0.0018    0.0019    0.0020
 -6.739        0.0019    0.0020    0.0021    0.0021
 -6.661        0.0021    0.0021    0.0022    0.0023
 -6.584        0.0022    0.0022    0.0023    0.0024
 -6.507        0.0023    0.0023    0.0025    0.0025
 -6.429        0.0025    0.0025    0.0026    0.0027
 -6.352        0.0026    0.0026    0.0027    0.0028
 -6.274        0.0028    0.0028    0.0029    0.0030
 -6.197        0.0029    0.0030    0.0031    0.0032
 -6.119        0.0031    0.0031    0.0032    0.0034
 -6.042        0.0033    0.0033    0.0034    0.0035
 -5.964        0.0035    0.0035    0.0036    0.0037
 -5.887        0.0037    0.0037    0.0038    0.0039
 -5.809        0.0039    0.0039    0.0040    0.0041
 -5.732        0.0041    0.0041    0.0042    0.0044
 -5.655        0.0043    0.0043    0.0045    0.0046
 -5.577        0.0045    0.0046    0.0047    0.0048
 -5.500        0.0048    0.0048    0.0049    0.0050
 -5.422        0.0050    0.0051    0.0052    0.0053
 -5.345        0.0053    0.0053    0.0054    0.0056
 -5.267        0.0055    0.0056    0.0057    0.0058
 -5.190        0.0058    0.0059    0.0060    0.0061
 -5.112        0.0061    0.0061    0.0063    0.0064
 -5.035        0.0064    0.0064    0.0066    0.0067
 -4.957        0.0067    0.0067    0.0069    0.0070
 -4.880        0.0070    0.0071    0.0072    0.0073
 -4.802        0.0074    0.0074    0.0075    0.0076
 -4.725        0.0077    0.0077    0.0078    0.0079
 -4.648        0.0080    0.0081    0.0082    0.0083
 -4.570        0.0084    0.0084    0.0085    0.0086
 -4.493        0.0088    0.0088    0.0089    0.0090
 -4.415        0.0091    0.0091    0.0093    0.0094
 -4.338        0.0095    0.0095    0.0096    0.0098
 -4.260        0.0099    0.0099    0.0100    0.0102
 -4.183        0.0103    0.0103    0.0104    0.0106
 -4.105        0.0107    0.0107    0.0109    0.0110
 -4.028        0.0111    0.0111    0.0113    0.0115
 -3.950        0.0116    0.0116    0.0118    0.0120
 -3.873        0.0120    0.0120    0.0122    0.0125
 -3.796        0.0124    0.0124    0.0127    0.0131
 -3.718        0.0129    0.0129    0.0133    0.0137
 -3.641        0.0134    0.0133    0.0139    0.0144
 -3.563        0.0138    0.0138    0.0145    0.0152
 -3.486        0.0143    0.0143    0.0152    0.0161
 -3.408        0.0148    0.0148    0.0159    0.0171
 -3.331        0.0152    0.0152    0.0168    0.0183
 -3.253        0.0157    0.0158    0.0177    0.0197
 -3.176        0.0162    0.0163    0.0187    0.0212
 -3.098        0.0167    0.0168    0.0199    0.0230
 -3.021        0.0173    0.0174    0.0213    0.0252
 -2.943        0.0178    0.0180    0.0229    0.0276
 -2.866        0.0184    0.0187    0.0247    0.0304
 -2.789        0.0190    0.0195    0.0267    0.0336
 -2.711        0.0196    0.0204    0.0291    0.0373
 -2.634        0.0203    0.0214    0.0318    0.0415
 -2.556        0.0212    0.0226    0.0349    0.0462
 -2.479        0.0222    0.0241    0.0385    0.0516
 -2.401        0.0233    0.0259    0.0425    0.0575
 -2.324        0.0248    0.0282    0.0472    0.0641
 -2.246        0.0267    0.0310    0.0525    0.0714
 -2.169        0.0291    0.0346    0.0585    0.0794
 -2.091        0.0321    0.0390    0.0654    0.0882
 -2.014        0.0360    0.0445    0.0732    0.0978
 -1.936        0.0410    0.0514    0.0822    0.1083
 -1.859        0.0474    0.0599    0.0924    0.1199
 -1.782        0.0555    0.0702    0.1041    0.1325
 -1.704        0.0656    0.0828    0.1174    0.1464
 -1.627        0.0782    0.0979    0.1327    0.1617
 -1.549        0.0937    0.1160    0.1501    0.1787
 -1.472        0.1126    0.1373    0.1699    0.1974
 -1.394        0.1354    0.1621    0.1924    0.2182
 -1.317        0.1624    0.1909    0.2177    0.2411
 -1.239        0.1943    0.2237    0.2462    0.2664
 -1.162        0.2313    0.2607    0.2778    0.2941
 -1.084        0.2738    0.3020    0.3128    0.3244
 -1.007        0.3219    0.3474    0.3511    0.3570
 -0.930        0.3755    0.3965    0.3924    0.3920
 -0.852        0.4342    0.4490    0.4363    0.4289
 -0.775        0.4975    0.5040    0.4825    0.4673
 -0.697        0.5643    0.5606    0.5300    0.5067
 -0.620        0.6331    0.6176    0.5780    0.5463
 -0.542        0.7021    0.6737    0.6253    0.5851
 -0.465        0.7693    0.7273    0.6706    0.6221
 -0.387        0.8321    0.7767    0.7125    0.6562
 -0.310        0.8882    0.8204    0.7496    0.6864
 -0.232        0.9349    0.8568    0.7806    0.7115
 -0.155        0.9702    0.8844    0.8042    0.7306
 -0.077        0.9923    0.9023    0.8195    0.7430
  0.000        1.0000    0.9097    0.8259    0.7482
  0.077        0.9930    0.9062    0.8231    0.7460
  0.155        0.9716    0.8921    0.8112    0.7365
  0.232        0.9370    0.8679    0.7908    0.7201
  0.310        0.8908    0.8346    0.7628    0.6976
  0.387        0.8351    0.7935    0.7281    0.6698
  0.465        0.7726    0.7460    0.6882    0.6376
  0.542        0.7056    0.6939    0.6445    0.6023
  0.620        0.6366    0.6386    0.5982    0.5649
  0.697        0.5677    0.5818    0.5508    0.5264
  0.775        0.5008    0.5250    0.5034    0.4879
  0.852        0.4373    0.4692    0.4571    0.4500
  0.930        0.3783    0.4157    0.4127    0.4134
  1.007        0.3244    0.3653    0.3707    0.3786
  1.084        0.2761    0.3184    0.3317    0.3459
  1.162        0.2333    0.2755    0.2958    0.3155
  1.239        0.1960    0.2368    0.2632    0.2875
  1.317        0.1639    0.2024    0.2338    0.2618
  1.394        0.1366    0.1721    0.2076    0.2384
  1.472        0.1136    0.1458    0.1842    0.2171
  1.549        0.0946    0.1232    0.1636    0.1977
  1.627        0.0789    0.1040    0.1454    0.1800
  1.704        0.0662    0.0878    0.1293    0.1638
  1.782        0.0559    0.0744    0.1151    0.1490
  1.859        0.0477    0.0632    0.1027    0.1353
  1.936        0.0413    0.0541    0.0916    0.1227
  2.014        0.0362    0.0467    0.0819    0.1111
  2.091        0.0323    0.0407    0.0733    0.1003
  2.169        0.0292    0.0359    0.0657    0.0904
  2.246        0.0268    0.0321    0.0589    0.0812
  2.324        0.0249    0.0290    0.0529    0.0729
  2.401        0.0234    0.0266    0.0476    0.0652
  2.479        0.0222    0.0246    0.0429    0.0583
  2.556        0.0212    0.0230    0.0388    0.0521
  2.634        0.0204    0.0217    0.0351    0.0465
  2.711        0.0197    0.0207    0.0319    0.0416
  2.789        0.0190    0.0198    0.0292    0.0373
  2.866        0.0184    0.0190    0.0267    0.0335
  2.943        0.0178    0.0183    0.0246    0.0302
  3.021        0.0173    0.0176    0.0228    0.0273
