STIS Model Line Spread Function vs Aperture at 240 nm
Rel pixel      52x0.1    52x0.2    52x0.5    52x2.0
-41.722        0.0000    0.0000    0.0000    0.0004
-41.570        0.0000    0.0000    0.0000    0.0005
-41.418        0.0000    0.0000    0.0000    0.0006
-41.267        0.0000    0.0000    0.0000    0.0007
-41.115        0.0000    0.0000    0.0000    0.0008
-40.963        0.0000    0.0000    0.0000    0.0008
-40.811        0.0000    0.0000    0.0000    0.0009
-40.660        0.0000    0.0000    0.0000    0.0009
-40.508        0.0000    0.0000    0.0000    0.0010
-40.356        0.0000    0.0000    0.0000    0.0010
-40.205        0.0000    0.0000    0.0000    0.0010
-40.053        0.0000    0.0000    0.0000    0.0011
-39.901        0.0000    0.0000    0.0000    0.0011
-39.749        0.0000    0.0000    0.0000    0.0011
-39.598        0.0000    0.0000    0.0000    0.0011
-39.446        0.0000    0.0000    0.0000    0.0012
-39.294        0.0000    0.0000    0.0000    0.0012
-39.143        0.0000    0.0000    0.0000    0.0012
-38.991        0.0000    0.0000    0.0000    0.0012
-38.839        0.0000    0.0000    0.0000    0.0012
-38.687        0.0000    0.0000    0.0000    0.0013
-38.536        0.0000    0.0000    0.0000    0.0013
-38.384        0.0000    0.0000    0.0000    0.0013
-38.232        0.0000    0.0000    0.0000    0.0014
-38.081        0.0000    0.0000    0.0000    0.0014
-37.929        0.0000    0.0000    0.0000    0.0014
-37.777        0.0000    0.0000    0.0000    0.0014
-37.625        0.0000    0.0000    0.0000    0.0015
-37.474        0.0000    0.0000    0.0000    0.0015
-37.322        0.0000    0.0000    0.0000    0.0015
-37.170        0.0000    0.0000    0.0000    0.0015
-37.019        0.0000    0.0000    0.0000    0.0015
-36.867        0.0000    0.0000    0.0000    0.0015
-36.715        0.0000    0.0000    0.0000    0.0015
-36.563        0.0000    0.0000    0.0000    0.0015
-36.412        0.0000    0.0000    0.0000    0.0016
-36.260        0.0000    0.0000    0.0000    0.0016
-36.108        0.0000    0.0000    0.0000    0.0016
-35.957        0.0000    0.0000    0.0000    0.0016
-35.805        0.0000    0.0000    0.0000    0.0016
-35.653        0.0000    0.0000    0.0000    0.0016
-35.501        0.0000    0.0000    0.0000    0.0017
-35.350        0.0000    0.0000    0.0000    0.0017
-35.198        0.0000    0.0000    0.0000    0.0017
-35.046        0.0000    0.0000    0.0000    0.0017
-34.894        0.0000    0.0000    0.0000    0.0017
-34.743        0.0000    0.0000    0.0000    0.0017
-34.591        0.0000    0.0000    0.0000    0.0017
-34.439        0.0000    0.0000    0.0000    0.0017
-34.288        0.0000    0.0000    0.0000    0.0018
-34.136        0.0000    0.0000    0.0000    0.0018
-33.984        0.0000    0.0000    0.0000    0.0018
-33.832        0.0000    0.0000    0.0000    0.0018
-33.681        0.0000    0.0000    0.0000    0.0018
-33.529        0.0000    0.0000    0.0000    0.0018
-33.377        0.0000    0.0000    0.0000    0.0018
-33.226        0.0000    0.0000    0.0000    0.0018
-33.074        0.0000    0.0000    0.0000    0.0018
-32.922        0.0000    0.0000    0.0000    0.0019
-32.770        0.0000    0.0000    0.0000    0.0019
-32.619        0.0000    0.0000    0.0000    0.0019
-32.467        0.0000    0.0000    0.0000    0.0019
-32.315        0.0000    0.0000    0.0000    0.0019
-32.164        0.0000    0.0000    0.0000    0.0019
-32.012        0.0000    0.0000    0.0000    0.0019
-31.860        0.0000    0.0000    0.0000    0.0019
-31.708        0.0000    0.0000    0.0000    0.0019
-31.557        0.0000    0.0000    0.0000    0.0019
-31.405        0.0000    0.0000    0.0000    0.0020
-31.253        0.0000    0.0000    0.0000    0.0020
-31.102        0.0000    0.0000    0.0000    0.0020
-30.950        0.0000    0.0000    0.0000    0.0020
-30.798        0.0000    0.0000    0.0000    0.0020
-30.646        0.0000    0.0000    0.0000    0.0020
-30.495        0.0000    0.0000    0.0000    0.0020
-30.343        0.0000    0.0000    0.0000    0.0021
-30.191        0.0000    0.0000    0.0000    0.0021
-30.040        0.0000    0.0000    0.0000    0.0021
-29.888        0.0000    0.0000    0.0000    0.0022
-29.736        0.0000    0.0000    0.0000    0.0022
-29.584        0.0000    0.0000    0.0000    0.0023
-29.433        0.0000    0.0000    0.0000    0.0023
-29.281        0.0000    0.0000    0.0000    0.0023
-29.129        0.0000    0.0000    0.0000    0.0024
-28.978        0.0000    0.0000    0.0000    0.0024
-28.826        0.0000    0.0000    0.0000    0.0025
-28.674        0.0000    0.0000    0.0000    0.0025
-28.522        0.0000    0.0000    0.0000    0.0026
-28.371        0.0000    0.0000    0.0000    0.0026
-28.219        0.0000    0.0000    0.0000    0.0026
-28.067        0.0000    0.0000    0.0000    0.0026
-27.916        0.0000    0.0000    0.0000    0.0026
-27.764        0.0000    0.0000    0.0000    0.0027
-27.612        0.0000    0.0000    0.0000    0.0027
-27.460        0.0000    0.0000    0.0000    0.0027
-27.309        0.0000    0.0000    0.0000    0.0027
-27.157        0.0000    0.0000    0.0000    0.0027
-27.005        0.0000    0.0000    0.0000    0.0027
-26.854        0.0000    0.0000    0.0000    0.0028
